Test1: Tree creation (10.1.1.100,224.12.12.12)
tests                                              DEBUG    2020-06-16 11:52:44,324                                              R1 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-16 11:52:44,413                                              R4 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-16 11:52:44,463                                              R2 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-16 11:52:44,535                                              R7 python3 Run.py -ai eth2
hpim.Interface                                     DEBUG    2020-06-16 11:52:44,577                                     0  eth0  R6 Received Hello message with HelloHoldTime: 120; CheckpointSN: 1 from neighbor 10.5.5.5
hpim.Interface                                     DEBUG    2020-06-16 11:52:44,577                                     1  eth1  R4 Received Hello message with HelloHoldTime: 120; CheckpointSN: 1 from neighbor 10.5.5.5
hpim.Interface                                     DEBUG    2020-06-16 11:52:44,578                                     1  eth1  R3 Received Hello message with HelloHoldTime: 120; CheckpointSN: 1 from neighbor 10.5.5.5
hpim.Interface                                     DEBUG    2020-06-16 11:52:44,579                                     0  eth0  R5 Received Sync message with BootTime: 1592308364; NeighborBootTime: 1592308363; MySnapshotSN: 1; NeighborSnapshotSN: 0; SyncSN: 0; Master flag: 1; More flag: 0 from neighbor 10.5.5.4
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:44,578                                     1  eth1  R4 Neighbor state of 10.5.5.5 transitions to Unknown
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:44,578                                     1  eth1  R4 Neighbor state of 10.5.5.5 transitions to Slave with MyBootTime=1592308364; MySnapshotSN=0; NeighborBootTime=1592308363; NeighborSnapshotSN=0
hpim.Interface                                     DEBUG    2020-06-16 11:52:44,579                                     1  eth1  R2 Received Hello message with HelloHoldTime: 120; CheckpointSN: 1 from neighbor 10.5.5.5
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:44,590                                     1  eth1  R3 Neighbor state of 10.5.5.5 transitions to Unknown
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:44,590                                     1  eth1  R3 Neighbor state of 10.5.5.5 transitions to Slave with MyBootTime=1592308364; MySnapshotSN=0; NeighborBootTime=1592308363; NeighborSnapshotSN=0
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:44,592                                     0  eth0  R5 Neighbor state of 10.5.5.4 transitions to Unknown
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:44,592                                     0  eth0  R5 Neighbor state of 10.5.5.4 transitions to Master with MyBootTime=1592308363; MySnapshotSN=0; NeighborBootTime=1592308364; NeighborSnapshotSN=0
hpim.Interface                                     DEBUG    2020-06-16 11:52:44,595                                     1  eth1  R4 Received Sync message with BootTime: 1592308363; NeighborBootTime: 1592308364; MySnapshotSN: 2; NeighborSnapshotSN: 1; SyncSN: 0; Master flag: 0; More flag: 0 from neighbor 10.5.5.5
hpim.Interface                                     DEBUG    2020-06-16 11:52:44,595                                     0  eth0  R5 Received Sync message with BootTime: 1592308364; NeighborBootTime: 1592308363; MySnapshotSN: 1; NeighborSnapshotSN: 0; SyncSN: 0; Master flag: 1; More flag: 0 from neighbor 10.5.5.3
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:44,598                                     1  eth1  R2 Neighbor state of 10.5.5.5 transitions to Unknown
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:44,598                                     1  eth1  R2 Neighbor state of 10.5.5.5 transitions to Slave with MyBootTime=1592308364; MySnapshotSN=0; NeighborBootTime=1592308363; NeighborSnapshotSN=0
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:44,597                                     0  eth0  R5 Neighbor state of 10.5.5.3 transitions to Unknown
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:44,598                                     0  eth0  R5 Neighbor state of 10.5.5.3 transitions to Master with MyBootTime=1592308363; MySnapshotSN=0; NeighborBootTime=1592308364; NeighborSnapshotSN=0
hpim.Interface                                     DEBUG    2020-06-16 11:52:44,615                                     0  eth0  R5 Received Sync message with BootTime: 1592308364; NeighborBootTime: 1592308363; MySnapshotSN: 1; NeighborSnapshotSN: 0; SyncSN: 0; Master flag: 1; More flag: 0 from neighbor 10.5.5.2
hpim.Interface                                     DEBUG    2020-06-16 11:52:44,617                                     1  eth1  R3 Received Sync message with BootTime: 1592308363; NeighborBootTime: 1592308364; MySnapshotSN: 3; NeighborSnapshotSN: 1; SyncSN: 0; Master flag: 0; More flag: 0 from neighbor 10.5.5.5
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:44,625                                     0  eth0  R5 Neighbor state of 10.5.5.2 transitions to Unknown
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:44,626                                     0  eth0  R5 Neighbor state of 10.5.5.2 transitions to Master with MyBootTime=1592308363; MySnapshotSN=0; NeighborBootTime=1592308364; NeighborSnapshotSN=0
hpim.Interface                                     DEBUG    2020-06-16 11:52:44,641                                     1  eth1  R2 Received Sync message with BootTime: 1592308363; NeighborBootTime: 1592308364; MySnapshotSN: 4; NeighborSnapshotSN: 1; SyncSN: 0; Master flag: 0; More flag: 0 from neighbor 10.5.5.5
hpim.Interface                                     DEBUG    2020-06-16 11:52:44,642                                     0  eth0  R5 Received Sync message with BootTime: 1592308364; NeighborBootTime: 1592308363; MySnapshotSN: 1; NeighborSnapshotSN: 2; SyncSN: 1; Master flag: 1; More flag: 0 from neighbor 10.5.5.4
hpim.Interface                                     DEBUG    2020-06-16 11:52:44,642                                     1  eth1  R4 Received Sync message with BootTime: 1592308363; NeighborBootTime: 1592308364; MySnapshotSN: 2; NeighborSnapshotSN: 1; SyncSN: 1; Master flag: 0; More flag: 0 from neighbor 10.5.5.5
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:44,645                                     1  eth1  R4 Neighbor state of 10.5.5.5 transitions to Synced with MyBootTime=1592308364; MySnapshotSN=1; NeighborBootTime=1592308363; NeighborSnapshotSN=2
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:44,657                                     0  eth0  R5 Neighbor state of 10.5.5.4 transitions to Synced with MyBootTime=1592308363; MySnapshotSN=2; NeighborBootTime=1592308364; NeighborSnapshotSN=1
hpim.Interface                                     DEBUG    2020-06-16 11:52:44,662                                     0  eth0  R5 Received Sync message with BootTime: 1592308364; NeighborBootTime: 1592308363; MySnapshotSN: 1; NeighborSnapshotSN: 3; SyncSN: 1; Master flag: 1; More flag: 0 from neighbor 10.5.5.3
hpim.Interface                                     DEBUG    2020-06-16 11:52:44,662                                     1  eth1  R3 Received Sync message with BootTime: 1592308363; NeighborBootTime: 1592308364; MySnapshotSN: 3; NeighborSnapshotSN: 1; SyncSN: 1; Master flag: 0; More flag: 0 from neighbor 10.5.5.5
tests                                              DEBUG    2020-06-16 11:52:44,663                                              R6 python3 Run.py -aiigmp eth1
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:44,663                                     0  eth0  R5 Neighbor state of 10.5.5.3 transitions to Synced with MyBootTime=1592308363; MySnapshotSN=3; NeighborBootTime=1592308364; NeighborSnapshotSN=1
hpim.Interface                                     DEBUG    2020-06-16 11:52:44,664                                     0  eth0  R5 Received Sync message with BootTime: 1592308364; NeighborBootTime: 1592308363; MySnapshotSN: 1; NeighborSnapshotSN: 4; SyncSN: 1; Master flag: 1; More flag: 0 from neighbor 10.5.5.2
hpim.Interface                                     DEBUG    2020-06-16 11:52:44,667                                     1  eth1  R2 Received Sync message with BootTime: 1592308363; NeighborBootTime: 1592308364; MySnapshotSN: 4; NeighborSnapshotSN: 1; SyncSN: 1; Master flag: 0; More flag: 0 from neighbor 10.5.5.5
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:44,667                                     1  eth1  R2 Neighbor state of 10.5.5.5 transitions to Synced with MyBootTime=1592308364; MySnapshotSN=1; NeighborBootTime=1592308363; NeighborSnapshotSN=4
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:44,668                                     0  eth0  R5 Neighbor state of 10.5.5.2 transitions to Synced with MyBootTime=1592308363; MySnapshotSN=4; NeighborBootTime=1592308364; NeighborSnapshotSN=1
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:44,675                                     1  eth1  R3 Neighbor state of 10.5.5.5 transitions to Synced with MyBootTime=1592308364; MySnapshotSN=1; NeighborBootTime=1592308363; NeighborSnapshotSN=3
tests                                              DEBUG    2020-06-16 11:52:44,772                                              R5 python3 Run.py -aiigmp eth1
hpim.Interface                                     DEBUG    2020-06-16 11:52:44,850                                     1  eth1  R1 Received Hello message with HelloHoldTime: 120; CheckpointSN: 0 from neighbor 10.2.2.2
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:44,853                                     1  eth1  R1 Neighbor state of 10.2.2.2 transitions to Unknown
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:44,854                                     1  eth1  R1 Neighbor state of 10.2.2.2 transitions to Slave with MyBootTime=1592308364; MySnapshotSN=0; NeighborBootTime=1592308363; NeighborSnapshotSN=0
hpim.Interface                                     DEBUG    2020-06-16 11:52:44,868                                     0  eth0  R2 Received Sync message with BootTime: 1592308364; NeighborBootTime: 1592308363; MySnapshotSN: 1; NeighborSnapshotSN: 0; SyncSN: 0; Master flag: 1; More flag: 0 from neighbor 10.2.2.1
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:44,885                                     0  eth0  R2 Neighbor state of 10.2.2.1 transitions to Unknown
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:44,886                                     0  eth0  R2 Neighbor state of 10.2.2.1 transitions to Master with MyBootTime=1592308363; MySnapshotSN=0; NeighborBootTime=1592308364; NeighborSnapshotSN=0
hpim.Interface                                     DEBUG    2020-06-16 11:52:44,890                                     1  eth1  R1 Received Sync message with BootTime: 1592308363; NeighborBootTime: 1592308364; MySnapshotSN: 1; NeighborSnapshotSN: 1; SyncSN: 0; Master flag: 0; More flag: 0 from neighbor 10.2.2.2
hpim.Interface                                     DEBUG    2020-06-16 11:52:44,898                                     0  eth0  R2 Received Sync message with BootTime: 1592308364; NeighborBootTime: 1592308363; MySnapshotSN: 1; NeighborSnapshotSN: 1; SyncSN: 1; Master flag: 1; More flag: 0 from neighbor 10.2.2.1
hpim.Interface                                     DEBUG    2020-06-16 11:52:44,899                                     1  eth1  R1 Received Sync message with BootTime: 1592308363; NeighborBootTime: 1592308364; MySnapshotSN: 1; NeighborSnapshotSN: 1; SyncSN: 1; Master flag: 0; More flag: 0 from neighbor 10.2.2.2
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:44,899                                     0  eth0  R2 Neighbor state of 10.2.2.1 transitions to Synced with MyBootTime=1592308363; MySnapshotSN=1; NeighborBootTime=1592308364; NeighborSnapshotSN=1
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:44,909                                     1  eth1  R1 Neighbor state of 10.2.2.2 transitions to Synced with MyBootTime=1592308364; MySnapshotSN=1; NeighborBootTime=1592308363; NeighborSnapshotSN=1
tests                                              DEBUG    2020-06-16 11:52:44,957                                              R1 python3 Run.py -ai eth2
tests                                              DEBUG    2020-06-16 11:52:45,110                                              R7 python3 Run.py -aiigmp eth2
tests                                              DEBUG    2020-06-16 11:52:45,169                                              R2 python3 Run.py -ai eth2
tests                                              DEBUG    2020-06-16 11:52:45,378                                              R1 python3 Run.py -aiigmp eth2
tests                                              DEBUG    2020-06-16 11:52:45,461                                              R2 python3 Run.py -aiigmp eth2
tests                                              DEBUG    2020-06-16 11:52:45,691                                              R1 python3 Run.py -ai eth3
