Test1: Formation of (S,G) Broadcast Tree
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,003                                       1  eth1  R2 Received Hello message with HelloHoldTime: 40; CheckpointSN: 0 from neighbor 10.5.5.3
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,004                                       1  eth1  R3 Received Sync message with BootTime: 1592337593; NeighborBootTime: 1592337594; MySnapshotSN: 1; NeighborSnapshotSN: 0; SyncSN: 0; Master flag: 1; More flag: 0 from neighbor 10.5.5.6
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,003                                       1  eth1  R4 Received Hello message with HelloHoldTime: 40; CheckpointSN: 0 from neighbor 10.5.5.3
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,007                                       0  eth0  R6 Received Sync message with BootTime: 1592337594; NeighborBootTime: 1592337593; MySnapshotSN: 1; NeighborSnapshotSN: 1; SyncSN: 0; Master flag: 0; More flag: 0 from neighbor 10.5.5.3
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,008                                       1  eth1  R3 Received Sync message with BootTime: 1592337593; NeighborBootTime: 1592337594; MySnapshotSN: 1; NeighborSnapshotSN: 0; SyncSN: 0; Master flag: 1; More flag: 0 from neighbor 10.5.5.5
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,009                                       1  eth1  R3 Received Sync message with BootTime: 1592337594; NeighborBootTime: 1592337594; MySnapshotSN: 1; NeighborSnapshotSN: 0; SyncSN: 0; Master flag: 1; More flag: 0 from neighbor 10.5.5.4
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,010                                       0  eth0  R5 Received Sync message with BootTime: 1592337594; NeighborBootTime: 1592337593; MySnapshotSN: 2; NeighborSnapshotSN: 1; SyncSN: 0; Master flag: 0; More flag: 0 from neighbor 10.5.5.3
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,014                                       1  eth1  R4 Received Sync message with BootTime: 1592337594; NeighborBootTime: 1592337594; MySnapshotSN: 3; NeighborSnapshotSN: 1; SyncSN: 0; Master flag: 0; More flag: 0 from neighbor 10.5.5.3
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,014                                       1  eth1  R3 Received Sync message with BootTime: 1592337593; NeighborBootTime: 1592337594; MySnapshotSN: 1; NeighborSnapshotSN: 1; SyncSN: 1; Master flag: 1; More flag: 0 from neighbor 10.5.5.6
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,015                                       0  eth0  R6 Received Sync message with BootTime: 1592337594; NeighborBootTime: 1592337593; MySnapshotSN: 1; NeighborSnapshotSN: 1; SyncSN: 1; Master flag: 0; More flag: 0 from neighbor 10.5.5.3
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,016                                       1  eth1  R3 Received Sync message with BootTime: 1592337593; NeighborBootTime: 1592337594; MySnapshotSN: 1; NeighborSnapshotSN: 2; SyncSN: 1; Master flag: 1; More flag: 0 from neighbor 10.5.5.5
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,016                                       0  eth0  R5 Received Sync message with BootTime: 1592337594; NeighborBootTime: 1592337593; MySnapshotSN: 2; NeighborSnapshotSN: 1; SyncSN: 1; Master flag: 0; More flag: 0 from neighbor 10.5.5.3
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,017                                       1  eth1  R3 Received Sync message with BootTime: 1592337594; NeighborBootTime: 1592337594; MySnapshotSN: 1; NeighborSnapshotSN: 3; SyncSN: 1; Master flag: 1; More flag: 0 from neighbor 10.5.5.4
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,018                                       1  eth1  R4 Received Sync message with BootTime: 1592337594; NeighborBootTime: 1592337594; MySnapshotSN: 3; NeighborSnapshotSN: 1; SyncSN: 1; Master flag: 0; More flag: 0 from neighbor 10.5.5.3
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,020                                       1  eth1  R3 Received Sync message with BootTime: 1592337594; NeighborBootTime: 1592337594; MySnapshotSN: 1; NeighborSnapshotSN: 0; SyncSN: 0; Master flag: 1; More flag: 0 from neighbor 10.5.5.2
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,021                                       1  eth1  R2 Received Sync message with BootTime: 1592337594; NeighborBootTime: 1592337594; MySnapshotSN: 4; NeighborSnapshotSN: 1; SyncSN: 0; Master flag: 0; More flag: 0 from neighbor 10.5.5.3
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,023                                       1  eth1  R3 Received Sync message with BootTime: 1592337594; NeighborBootTime: 1592337594; MySnapshotSN: 1; NeighborSnapshotSN: 4; SyncSN: 1; Master flag: 1; More flag: 0 from neighbor 10.5.5.2
