20:00:32.891553->{"CURRENT_RSS": 22466560, "CURRENT_PRECENT": 0.27255538688206077}
20:00:33.391979->{"CURRENT_RSS": 23158784, "CURRENT_PRECENT": 0.2809531736428754}
20:00:33.892636->{"CURRENT_RSS": 23298048, "CURRENT_PRECENT": 0.2826426692042227}
20:00:34.393270->{"CURRENT_RSS": 25038848, "CURRENT_PRECENT": 0.30376136372106427}
20:00:34.893817->{"CURRENT_RSS": 25288704, "CURRENT_PRECENT": 0.3067925175223051}
20:00:35.394384->{"CURRENT_RSS": 25403392, "CURRENT_PRECENT": 0.30818386680812054}
20:00:35.895376->{"CURRENT_RSS": 25485312, "CURRENT_PRECENT": 0.30917768772656007}
20:00:36.395765->{"CURRENT_RSS": 25489408, "CURRENT_PRECENT": 0.30922737877248213}
20:00:36.897706->{"CURRENT_RSS": 25489408, "CURRENT_PRECENT": 0.30922737877248213}
20:00:37.398483->{"CURRENT_RSS": 25489408, "CURRENT_PRECENT": 0.30922737877248213}
20:00:37.899223->{"CURRENT_RSS": 25497600, "CURRENT_PRECENT": 0.30932676086432603}
20:00:38.399842->{"CURRENT_RSS": 25497600, "CURRENT_PRECENT": 0.30932676086432603}
20:00:38.900903->{"CURRENT_RSS": 25501696, "CURRENT_PRECENT": 0.30937645191024804}
20:00:39.401938->{"CURRENT_RSS": 25743360, "CURRENT_PRECENT": 0.31230822361964483}
20:00:39.902575->{"CURRENT_RSS": 25759744, "CURRENT_PRECENT": 0.31250698780333275}
20:00:40.403252->{"CURRENT_RSS": 25759744, "CURRENT_PRECENT": 0.31250698780333275}
20:00:40.904007->{"CURRENT_RSS": 26030080, "CURRENT_PRECENT": 0.3157865968341835}
20:00:41.404855->{"CURRENT_RSS": 26071040, "CURRENT_PRECENT": 0.31628350729340327}
20:00:41.905841->{"CURRENT_RSS": 26071040, "CURRENT_PRECENT": 0.31628350729340327}
20:00:42.406862->{"CURRENT_RSS": 28274688, "CURRENT_PRECENT": 0.34301728999942854}
20:00:42.907211->{"CURRENT_RSS": 28446720, "CURRENT_PRECENT": 0.3451043139281517}
20:00:43.408036->{"CURRENT_RSS": 28446720, "CURRENT_PRECENT": 0.3451043139281517}
20:00:43.908984->{"CURRENT_RSS": 28446720, "CURRENT_PRECENT": 0.3451043139281517}
20:00:44.410195->{"CURRENT_RSS": 28446720, "CURRENT_PRECENT": 0.3451043139281517}
20:00:44.911121->{"CURRENT_RSS": 28450816, "CURRENT_PRECENT": 0.3451540049740737}
20:00:45.412046->{"CURRENT_RSS": 28450816, "CURRENT_PRECENT": 0.3451540049740737}
20:00:45.913330->{"CURRENT_RSS": 28454912, "CURRENT_PRECENT": 0.3452036960199957}
20:00:46.414415->{"CURRENT_RSS": 28495872, "CURRENT_PRECENT": 0.34570060647921547}
20:00:46.915386->{"CURRENT_RSS": 28495872, "CURRENT_PRECENT": 0.34570060647921547}
20:00:47.416684->{"CURRENT_RSS": 28495872, "CURRENT_PRECENT": 0.34570060647921547}
20:00:47.917917->{"CURRENT_RSS": 28495872, "CURRENT_PRECENT": 0.34570060647921547}
20:00:48.418940->{"CURRENT_RSS": 28495872, "CURRENT_PRECENT": 0.34570060647921547}
20:00:48.919544->{"CURRENT_RSS": 28499968, "CURRENT_PRECENT": 0.3457502975251375}
20:00:49.421103->{"CURRENT_RSS": 28499968, "CURRENT_PRECENT": 0.3457502975251375}
20:00:49.922408->{"CURRENT_RSS": 28512256, "CURRENT_PRECENT": 0.3458993706629034}
20:00:50.423475->{"CURRENT_RSS": 28512256, "CURRENT_PRECENT": 0.3458993706629034}
20:00:50.924793->{"CURRENT_RSS": 28512256, "CURRENT_PRECENT": 0.3458993706629034}
20:00:51.425855->{"CURRENT_RSS": 28512256, "CURRENT_PRECENT": 0.3458993706629034}
20:00:51.927289->{"CURRENT_RSS": 28512256, "CURRENT_PRECENT": 0.3458993706629034}
20:00:52.428271->{"CURRENT_RSS": 28512256, "CURRENT_PRECENT": 0.3458993706629034}
20:00:52.929843->{"CURRENT_RSS": 28512256, "CURRENT_PRECENT": 0.3458993706629034}
20:00:53.431292->{"CURRENT_RSS": 28676096, "CURRENT_PRECENT": 0.3478870124997826}
20:00:53.932383->{"CURRENT_RSS": 28676096, "CURRENT_PRECENT": 0.3478870124997826}
20:00:54.433700->{"CURRENT_RSS": 28676096, "CURRENT_PRECENT": 0.3478870124997826}
20:00:54.934564->{"CURRENT_RSS": 28680192, "CURRENT_PRECENT": 0.3479367035457046}
20:00:55.435360->{"CURRENT_RSS": 28688384, "CURRENT_PRECENT": 0.3480360856375485}
20:00:55.936819->{"CURRENT_RSS": 28688384, "CURRENT_PRECENT": 0.3480360856375485}
20:00:56.438469->{"CURRENT_RSS": 28692480, "CURRENT_PRECENT": 0.3480857766834705}
20:00:56.940907->{"CURRENT_RSS": 28692480, "CURRENT_PRECENT": 0.3480857766834705}
20:00:57.443219->{"CURRENT_RSS": 28962816, "CURRENT_PRECENT": 0.3513653857143212}
20:00:57.945500->{"CURRENT_RSS": 28962816, "CURRENT_PRECENT": 0.3513653857143212}
20:00:58.447588->{"CURRENT_RSS": 28962816, "CURRENT_PRECENT": 0.3513653857143212}
20:00:58.949914->{"CURRENT_RSS": 29319168, "CURRENT_PRECENT": 0.35568850670953345}
20:00:59.452103->{"CURRENT_RSS": 29319168, "CURRENT_PRECENT": 0.35568850670953345}
20:00:59.953940->{"CURRENT_RSS": 29319168, "CURRENT_PRECENT": 0.35568850670953345}
20:01:00.455426->{"CURRENT_RSS": 29319168, "CURRENT_PRECENT": 0.35568850670953345}
20:01:00.957512->{"CURRENT_RSS": 29319168, "CURRENT_PRECENT": 0.35568850670953345}
20:01:01.459931->{"CURRENT_RSS": 29319168, "CURRENT_PRECENT": 0.35568850670953345}
20:01:01.961935->{"CURRENT_RSS": 29319168, "CURRENT_PRECENT": 0.35568850670953345}
20:01:02.463321->{"CURRENT_RSS": 29319168, "CURRENT_PRECENT": 0.35568850670953345}
20:01:02.964673->{"CURRENT_RSS": 29319168, "CURRENT_PRECENT": 0.35568850670953345}
20:01:03.466085->{"CURRENT_RSS": 29319168, "CURRENT_PRECENT": 0.35568850670953345}
20:01:03.967327->{"CURRENT_RSS": 29319168, "CURRENT_PRECENT": 0.35568850670953345}
20:01:04.468748->{"CURRENT_RSS": 29319168, "CURRENT_PRECENT": 0.35568850670953345}
20:01:04.969881->{"CURRENT_RSS": 29319168, "CURRENT_PRECENT": 0.35568850670953345}
20:01:05.471496->{"CURRENT_RSS": 29319168, "CURRENT_PRECENT": 0.35568850670953345}
20:01:05.972746->{"CURRENT_RSS": 29319168, "CURRENT_PRECENT": 0.35568850670953345}
20:01:06.474465->{"CURRENT_RSS": 29319168, "CURRENT_PRECENT": 0.35568850670953345}
20:01:06.976588->{"CURRENT_RSS": 29319168, "CURRENT_PRECENT": 0.35568850670953345}
20:01:07.477969->{"CURRENT_RSS": 29319168, "CURRENT_PRECENT": 0.35568850670953345}
20:01:07.979835->{"CURRENT_RSS": 29319168, "CURRENT_PRECENT": 0.35568850670953345}
20:01:08.481368->{"CURRENT_RSS": 29319168, "CURRENT_PRECENT": 0.35568850670953345}
20:01:08.984464->{"CURRENT_RSS": 29319168, "CURRENT_PRECENT": 0.35568850670953345}
20:01:09.486415->{"CURRENT_RSS": 29319168, "CURRENT_PRECENT": 0.35568850670953345}
20:01:09.988534->{"CURRENT_RSS": 29319168, "CURRENT_PRECENT": 0.35568850670953345}
20:01:10.489945->{"CURRENT_RSS": 29319168, "CURRENT_PRECENT": 0.35568850670953345}
20:01:10.991399->{"CURRENT_RSS": 29327360, "CURRENT_PRECENT": 0.35578788880137746}
20:01:11.492879->{"CURRENT_RSS": 29327360, "CURRENT_PRECENT": 0.35578788880137746}
