18:42:47.171110->{"CURRENT_RSS": 22343680, "CURRENT_PRECENT": 0.2710646555044014}
18:42:47.673826->{"CURRENT_RSS": 24567808, "CURRENT_PRECENT": 0.29804689344003654}
18:42:48.174392->{"CURRENT_RSS": 24567808, "CURRENT_PRECENT": 0.29804689344003654}
18:42:48.675524->{"CURRENT_RSS": 24956928, "CURRENT_PRECENT": 0.3027675428026247}
18:42:49.176232->{"CURRENT_RSS": 26206208, "CURRENT_PRECENT": 0.3179233118088286}
18:42:49.676945->{"CURRENT_RSS": 26218496, "CURRENT_PRECENT": 0.3180723849465945}
18:42:50.183570->{"CURRENT_RSS": 26226688, "CURRENT_PRECENT": 0.3181717670384385}
18:42:50.684337->{"CURRENT_RSS": 26333184, "CURRENT_PRECENT": 0.31946373423241}
18:42:51.184994->{"CURRENT_RSS": 26341376, "CURRENT_PRECENT": 0.319563116324254}
18:42:51.685816->{"CURRENT_RSS": 26652672, "CURRENT_PRECENT": 0.32333963581432446}
18:42:52.186633->{"CURRENT_RSS": 26652672, "CURRENT_PRECENT": 0.32333963581432446}
18:42:52.687787->{"CURRENT_RSS": 26923008, "CURRENT_PRECENT": 0.3266192448451751}
18:42:53.189020->{"CURRENT_RSS": 26931200, "CURRENT_PRECENT": 0.3267186269370191}
18:42:53.690415->{"CURRENT_RSS": 26935296, "CURRENT_PRECENT": 0.32676831798294104}
18:42:54.191263->{"CURRENT_RSS": 26935296, "CURRENT_PRECENT": 0.32676831798294104}
18:42:54.691922->{"CURRENT_RSS": 26935296, "CURRENT_PRECENT": 0.32676831798294104}
18:42:55.192305->{"CURRENT_RSS": 26935296, "CURRENT_PRECENT": 0.32676831798294104}
18:42:55.693267->{"CURRENT_RSS": 26939392, "CURRENT_PRECENT": 0.32681800902886304}
18:42:56.194823->{"CURRENT_RSS": 26939392, "CURRENT_PRECENT": 0.32681800902886304}
18:42:56.696266->{"CURRENT_RSS": 27209728, "CURRENT_PRECENT": 0.3300976180597137}
18:42:57.207972->{"CURRENT_RSS": 31027200, "CURRENT_PRECENT": 0.3764096728589992}
18:42:57.712829->{"CURRENT_RSS": 31416320, "CURRENT_PRECENT": 0.38113032222158727}
18:42:58.213270->{"CURRENT_RSS": 31387648, "CURRENT_PRECENT": 0.3807824849001334}
18:42:58.713811->{"CURRENT_RSS": 31387648, "CURRENT_PRECENT": 0.3807824849001334}
18:42:59.214916->{"CURRENT_RSS": 31387648, "CURRENT_PRECENT": 0.3807824849001334}
18:42:59.715886->{"CURRENT_RSS": 31387648, "CURRENT_PRECENT": 0.3807824849001334}
18:43:00.216995->{"CURRENT_RSS": 31387648, "CURRENT_PRECENT": 0.3807824849001334}
18:43:00.717893->{"CURRENT_RSS": 31387648, "CURRENT_PRECENT": 0.3807824849001334}
18:43:01.218832->{"CURRENT_RSS": 31387648, "CURRENT_PRECENT": 0.3807824849001334}
18:43:01.720729->{"CURRENT_RSS": 31387648, "CURRENT_PRECENT": 0.3807824849001334}
18:43:02.221841->{"CURRENT_RSS": 31387648, "CURRENT_PRECENT": 0.3807824849001334}
18:43:02.723744->{"CURRENT_RSS": 31387648, "CURRENT_PRECENT": 0.3807824849001334}
18:43:03.224775->{"CURRENT_RSS": 31387648, "CURRENT_PRECENT": 0.3807824849001334}
18:43:03.725837->{"CURRENT_RSS": 31387648, "CURRENT_PRECENT": 0.3807824849001334}
18:43:04.226372->{"CURRENT_RSS": 31387648, "CURRENT_PRECENT": 0.3807824849001334}
18:43:04.727731->{"CURRENT_RSS": 31387648, "CURRENT_PRECENT": 0.3807824849001334}
18:43:05.228820->{"CURRENT_RSS": 31387648, "CURRENT_PRECENT": 0.3807824849001334}
18:43:05.729907->{"CURRENT_RSS": 31387648, "CURRENT_PRECENT": 0.3807824849001334}
18:43:06.231057->{"CURRENT_RSS": 31387648, "CURRENT_PRECENT": 0.3807824849001334}
18:43:06.732044->{"CURRENT_RSS": 31387648, "CURRENT_PRECENT": 0.3807824849001334}
18:43:07.233650->{"CURRENT_RSS": 31387648, "CURRENT_PRECENT": 0.3807824849001334}
18:43:07.735043->{"CURRENT_RSS": 31387648, "CURRENT_PRECENT": 0.3807824849001334}
18:43:08.236127->{"CURRENT_RSS": 31387648, "CURRENT_PRECENT": 0.3807824849001334}
18:43:08.737651->{"CURRENT_RSS": 31387648, "CURRENT_PRECENT": 0.3807824849001334}
18:43:09.238651->{"CURRENT_RSS": 31387648, "CURRENT_PRECENT": 0.3807824849001334}
18:43:09.739609->{"CURRENT_RSS": 31387648, "CURRENT_PRECENT": 0.3807824849001334}
18:43:10.241082->{"CURRENT_RSS": 31387648, "CURRENT_PRECENT": 0.3807824849001334}
18:43:10.742291->{"CURRENT_RSS": 31391744, "CURRENT_PRECENT": 0.3808321759460554}
18:43:11.243687->{"CURRENT_RSS": 31391744, "CURRENT_PRECENT": 0.3808321759460554}
18:43:11.744645->{"CURRENT_RSS": 31391744, "CURRENT_PRECENT": 0.3808321759460554}
18:43:12.245918->{"CURRENT_RSS": 31391744, "CURRENT_PRECENT": 0.3808321759460554}
18:43:12.747435->{"CURRENT_RSS": 31391744, "CURRENT_PRECENT": 0.3808321759460554}
18:43:13.248637->{"CURRENT_RSS": 31391744, "CURRENT_PRECENT": 0.3808321759460554}
18:43:13.749845->{"CURRENT_RSS": 31391744, "CURRENT_PRECENT": 0.3808321759460554}
18:43:14.251174->{"CURRENT_RSS": 31391744, "CURRENT_PRECENT": 0.3808321759460554}
18:43:14.752524->{"CURRENT_RSS": 31391744, "CURRENT_PRECENT": 0.3808321759460554}
18:43:15.253861->{"CURRENT_RSS": 31662080, "CURRENT_PRECENT": 0.38411178497690607}
18:43:15.754980->{"CURRENT_RSS": 31662080, "CURRENT_PRECENT": 0.38411178497690607}
18:43:16.256424->{"CURRENT_RSS": 31662080, "CURRENT_PRECENT": 0.38411178497690607}
18:43:16.757244->{"CURRENT_RSS": 31662080, "CURRENT_PRECENT": 0.38411178497690607}
18:43:17.257886->{"CURRENT_RSS": 31662080, "CURRENT_PRECENT": 0.38411178497690607}
18:43:17.758831->{"CURRENT_RSS": 31662080, "CURRENT_PRECENT": 0.38411178497690607}
18:43:18.259469->{"CURRENT_RSS": 31662080, "CURRENT_PRECENT": 0.38411178497690607}
18:43:18.761370->{"CURRENT_RSS": 31662080, "CURRENT_PRECENT": 0.38411178497690607}
18:43:19.262766->{"CURRENT_RSS": 31662080, "CURRENT_PRECENT": 0.38411178497690607}
18:43:19.765463->{"CURRENT_RSS": 31662080, "CURRENT_PRECENT": 0.38411178497690607}
18:43:20.266617->{"CURRENT_RSS": 31662080, "CURRENT_PRECENT": 0.38411178497690607}
18:43:20.767600->{"CURRENT_RSS": 31662080, "CURRENT_PRECENT": 0.38411178497690607}
18:43:21.269007->{"CURRENT_RSS": 31662080, "CURRENT_PRECENT": 0.38411178497690607}
18:43:21.770101->{"CURRENT_RSS": 31662080, "CURRENT_PRECENT": 0.38411178497690607}
18:43:22.271198->{"CURRENT_RSS": 31662080, "CURRENT_PRECENT": 0.38411178497690607}
18:43:22.772291->{"CURRENT_RSS": 31662080, "CURRENT_PRECENT": 0.38411178497690607}
18:43:23.273299->{"CURRENT_RSS": 31662080, "CURRENT_PRECENT": 0.38411178497690607}
18:43:23.774531->{"CURRENT_RSS": 31662080, "CURRENT_PRECENT": 0.38411178497690607}
18:43:24.275920->{"CURRENT_RSS": 31662080, "CURRENT_PRECENT": 0.38411178497690607}
18:43:24.777404->{"CURRENT_RSS": 31662080, "CURRENT_PRECENT": 0.38411178497690607}
18:43:25.278458->{"CURRENT_RSS": 31662080, "CURRENT_PRECENT": 0.38411178497690607}
18:43:25.779545->{"CURRENT_RSS": 31662080, "CURRENT_PRECENT": 0.38411178497690607}
18:43:26.280967->{"CURRENT_RSS": 31662080, "CURRENT_PRECENT": 0.38411178497690607}
18:43:26.782082->{"CURRENT_RSS": 31662080, "CURRENT_PRECENT": 0.38411178497690607}
18:43:27.283038->{"CURRENT_RSS": 31662080, "CURRENT_PRECENT": 0.38411178497690607}
18:43:27.783680->{"CURRENT_RSS": 31662080, "CURRENT_PRECENT": 0.38411178497690607}
18:43:28.284726->{"CURRENT_RSS": 31662080, "CURRENT_PRECENT": 0.38411178497690607}
18:43:28.785928->{"CURRENT_RSS": 31662080, "CURRENT_PRECENT": 0.38411178497690607}
18:43:29.287224->{"CURRENT_RSS": 31662080, "CURRENT_PRECENT": 0.38411178497690607}
18:43:29.788256->{"CURRENT_RSS": 31662080, "CURRENT_PRECENT": 0.38411178497690607}
18:43:30.289339->{"CURRENT_RSS": 31932416, "CURRENT_PRECENT": 0.38739139400775674}
