20:05:59.993516->{"CURRENT_RSS": 21860352, "CURRENT_PRECENT": 0.2662943150958913}
20:06:00.494006->{"CURRENT_RSS": 23101440, "CURRENT_PRECENT": 0.28025749899996766}
20:06:00.994814->{"CURRENT_RSS": 23101440, "CURRENT_PRECENT": 0.28025749899996766}
20:06:01.495281->{"CURRENT_RSS": 23101440, "CURRENT_PRECENT": 0.28025749899996766}
20:06:01.995689->{"CURRENT_RSS": 23240704, "CURRENT_PRECENT": 0.281946994561315}
20:06:02.498125->{"CURRENT_RSS": 24862720, "CURRENT_PRECENT": 0.30162464874641914}
20:06:02.999762->{"CURRENT_RSS": 25206784, "CURRENT_PRECENT": 0.3057986966038655}
20:06:03.500465->{"CURRENT_RSS": 25583616, "CURRENT_PRECENT": 0.3103702728286876}
20:06:04.001234->{"CURRENT_RSS": 25628672, "CURRENT_PRECENT": 0.3109168743338294}
20:06:04.501845->{"CURRENT_RSS": 25632768, "CURRENT_PRECENT": 0.3109665653797514}
20:06:05.003333->{"CURRENT_RSS": 25632768, "CURRENT_PRECENT": 0.3109665653797514}
20:06:05.504367->{"CURRENT_RSS": 25632768, "CURRENT_PRECENT": 0.3109665653797514}
20:06:06.005316->{"CURRENT_RSS": 25632768, "CURRENT_PRECENT": 0.3109665653797514}
20:06:06.506554->{"CURRENT_RSS": 25636864, "CURRENT_PRECENT": 0.3110162564256734}
20:06:07.007725->{"CURRENT_RSS": 25636864, "CURRENT_PRECENT": 0.3110162564256734}
20:06:07.508807->{"CURRENT_RSS": 25636864, "CURRENT_PRECENT": 0.3110162564256734}
20:06:08.009840->{"CURRENT_RSS": 25636864, "CURRENT_PRECENT": 0.3110162564256734}
20:06:08.510870->{"CURRENT_RSS": 25636864, "CURRENT_PRECENT": 0.3110162564256734}
20:06:09.011836->{"CURRENT_RSS": 27680768, "CURRENT_PRECENT": 0.33581208834074144}
20:06:09.514671->{"CURRENT_RSS": 28069888, "CURRENT_PRECENT": 0.34053273770332954}
20:06:10.015960->{"CURRENT_RSS": 28303360, "CURRENT_PRECENT": 0.3433651273208824}
20:06:10.517089->{"CURRENT_RSS": 28303360, "CURRENT_PRECENT": 0.3433651273208824}
20:06:11.018088->{"CURRENT_RSS": 28303360, "CURRENT_PRECENT": 0.3433651273208824}
20:06:11.519011->{"CURRENT_RSS": 28303360, "CURRENT_PRECENT": 0.3433651273208824}
20:06:12.020067->{"CURRENT_RSS": 28303360, "CURRENT_PRECENT": 0.3433651273208824}
20:06:12.520940->{"CURRENT_RSS": 28303360, "CURRENT_PRECENT": 0.3433651273208824}
20:06:13.021832->{"CURRENT_RSS": 28393472, "CURRENT_PRECENT": 0.34445833033116596}
20:06:13.522641->{"CURRENT_RSS": 28401664, "CURRENT_PRECENT": 0.3445577124230099}
20:06:14.023880->{"CURRENT_RSS": 28401664, "CURRENT_PRECENT": 0.3445577124230099}
20:06:14.524773->{"CURRENT_RSS": 28401664, "CURRENT_PRECENT": 0.3445577124230099}
20:06:15.025849->{"CURRENT_RSS": 29061120, "CURRENT_PRECENT": 0.35255797081644874}
20:06:15.526955->{"CURRENT_RSS": 29061120, "CURRENT_PRECENT": 0.35255797081644874}
20:06:16.027937->{"CURRENT_RSS": 29343744, "CURRENT_PRECENT": 0.3559866529850653}
20:06:16.529091->{"CURRENT_RSS": 29343744, "CURRENT_PRECENT": 0.3559866529850653}
20:06:17.030122->{"CURRENT_RSS": 29343744, "CURRENT_PRECENT": 0.3559866529850653}
20:06:17.530562->{"CURRENT_RSS": 29343744, "CURRENT_PRECENT": 0.3559866529850653}
20:06:18.031042->{"CURRENT_RSS": 29343744, "CURRENT_PRECENT": 0.3559866529850653}
20:06:18.531909->{"CURRENT_RSS": 29343744, "CURRENT_PRECENT": 0.3559866529850653}
20:06:19.033470->{"CURRENT_RSS": 29343744, "CURRENT_PRECENT": 0.3559866529850653}
20:06:19.534713->{"CURRENT_RSS": 29343744, "CURRENT_PRECENT": 0.3559866529850653}
