20:00:32.762984->{"CURRENT_PRECENT": 0.2710646555044014, "CURRENT_RSS": 22343680}
20:00:33.263423->{"CURRENT_PRECENT": 0.27926367808152813, "CURRENT_RSS": 23019520}
20:00:33.764061->{"CURRENT_PRECENT": 0.2810028646887974, "CURRENT_RSS": 23162880}
20:00:34.264596->{"CURRENT_PRECENT": 0.3029166159403906, "CURRENT_RSS": 24969216}
20:00:34.765807->{"CURRENT_PRECENT": 0.3029166159403906, "CURRENT_RSS": 24969216}
20:00:35.266199->{"CURRENT_PRECENT": 0.30728942798152487, "CURRENT_RSS": 25329664}
20:00:35.767950->{"CURRENT_PRECENT": 0.3084323220377304, "CURRENT_RSS": 25423872}
20:00:36.268544->{"CURRENT_PRECENT": 0.3086310862214183, "CURRENT_RSS": 25440256}
20:00:36.768889->{"CURRENT_PRECENT": 0.31166224002265913, "CURRENT_RSS": 25690112}
20:00:37.269218->{"CURRENT_PRECENT": 0.31166224002265913, "CURRENT_RSS": 25690112}
20:00:37.769856->{"CURRENT_PRECENT": 0.31166224002265913, "CURRENT_RSS": 25690112}
20:00:38.270553->{"CURRENT_PRECENT": 0.31166224002265913, "CURRENT_RSS": 25690112}
20:00:38.771702->{"CURRENT_PRECENT": 0.31181131316042504, "CURRENT_RSS": 25702400}
20:00:39.272357->{"CURRENT_PRECENT": 0.31181131316042504, "CURRENT_RSS": 25702400}
20:00:39.773127->{"CURRENT_PRECENT": 0.31230822361964483, "CURRENT_RSS": 25743360}
20:00:40.273987->{"CURRENT_PRECENT": 0.31230822361964483, "CURRENT_RSS": 25743360}
20:00:40.774801->{"CURRENT_PRECENT": 0.31230822361964483, "CURRENT_RSS": 25743360}
20:00:41.275624->{"CURRENT_PRECENT": 0.31230822361964483, "CURRENT_RSS": 25743360}
20:00:41.776991->{"CURRENT_PRECENT": 0.31230822361964483, "CURRENT_RSS": 25743360}
20:00:42.285790->{"CURRENT_PRECENT": 0.3376506570398547, "CURRENT_RSS": 27832320}
20:00:42.786719->{"CURRENT_PRECENT": 0.3413774854840032, "CURRENT_RSS": 28139520}
20:00:43.288259->{"CURRENT_PRECENT": 0.3416756317595351, "CURRENT_RSS": 28164096}
20:00:43.789504->{"CURRENT_PRECENT": 0.3416756317595351, "CURRENT_RSS": 28164096}
20:00:44.289806->{"CURRENT_PRECENT": 0.34202346908098896, "CURRENT_RSS": 28192768}
20:00:44.790334->{"CURRENT_PRECENT": 0.34202346908098896, "CURRENT_RSS": 28192768}
20:00:45.291772->{"CURRENT_PRECENT": 0.34232161535652084, "CURRENT_RSS": 28217344}
20:00:45.792831->{"CURRENT_PRECENT": 0.34232161535652084, "CURRENT_RSS": 28217344}
20:00:46.293919->{"CURRENT_PRECENT": 0.3426694526779747, "CURRENT_RSS": 28246016}
20:00:46.794986->{"CURRENT_PRECENT": 0.3428185258157406, "CURRENT_RSS": 28258304}
20:00:47.296578->{"CURRENT_PRECENT": 0.3428185258157406, "CURRENT_RSS": 28258304}
20:00:47.797366->{"CURRENT_PRECENT": 0.3428185258157406, "CURRENT_RSS": 28258304}
20:00:48.298522->{"CURRENT_PRECENT": 0.3428185258157406, "CURRENT_RSS": 28258304}
20:00:48.799402->{"CURRENT_PRECENT": 0.3428682168616626, "CURRENT_RSS": 28262400}
20:00:49.300446->{"CURRENT_PRECENT": 0.34351420045864833, "CURRENT_RSS": 28315648}
20:00:49.801934->{"CURRENT_PRECENT": 0.34351420045864833, "CURRENT_RSS": 28315648}
20:00:50.302926->{"CURRENT_PRECENT": 0.34351420045864833, "CURRENT_RSS": 28315648}
20:00:50.803828->{"CURRENT_PRECENT": 0.34351420045864833, "CURRENT_RSS": 28315648}
20:00:51.304763->{"CURRENT_PRECENT": 0.34351420045864833, "CURRENT_RSS": 28315648}
20:00:51.805949->{"CURRENT_PRECENT": 0.34351420045864833, "CURRENT_RSS": 28315648}
20:00:52.307013->{"CURRENT_PRECENT": 0.34351420045864833, "CURRENT_RSS": 28315648}
20:00:52.808095->{"CURRENT_PRECENT": 0.34351420045864833, "CURRENT_RSS": 28315648}
20:00:53.309089->{"CURRENT_PRECENT": 0.34351420045864833, "CURRENT_RSS": 28315648}
20:00:53.810236->{"CURRENT_PRECENT": 0.34351420045864833, "CURRENT_RSS": 28315648}
