18:50:06.134223->{"CURRENT_PRECENT": 0.2815991572398612, "CURRENT_RSS": 23212032}
18:50:06.635044->{"CURRENT_PRECENT": 0.30882985040510624, "CURRENT_RSS": 25456640}
18:50:07.135837->{"CURRENT_PRECENT": 0.30882985040510624, "CURRENT_RSS": 25456640}
18:50:07.636303->{"CURRENT_PRECENT": 0.3121094594359569, "CURRENT_RSS": 25726976}
18:50:08.137027->{"CURRENT_PRECENT": 0.31384864604322626, "CURRENT_RSS": 25870336}
18:50:08.638663->{"CURRENT_PRECENT": 0.3328803166313446, "CURRENT_RSS": 27439104}
18:50:09.139396->{"CURRENT_PRECENT": 0.3360605435703513, "CURRENT_RSS": 27701248}
18:50:09.640154->{"CURRENT_PRECENT": 0.3362096167081173, "CURRENT_RSS": 27713536}
18:50:10.140839->{"CURRENT_PRECENT": 0.3364580719377272, "CURRENT_RSS": 27734016}
18:50:10.641716->{"CURRENT_PRECENT": 0.3383960227286844, "CURRENT_RSS": 27893760}
18:50:11.143054->{"CURRENT_PRECENT": 0.33849540482052837, "CURRENT_RSS": 27901952}
18:50:11.644560->{"CURRENT_PRECENT": 0.3385947869123723, "CURRENT_RSS": 27910144}
18:50:12.145928->{"CURRENT_PRECENT": 0.3385947869123723, "CURRENT_RSS": 27910144}
18:50:12.647282->{"CURRENT_PRECENT": 0.3385947869123723, "CURRENT_RSS": 27910144}
18:50:13.148783->{"CURRENT_PRECENT": 0.33864447795829433, "CURRENT_RSS": 27914240}
18:50:13.649866->{"CURRENT_PRECENT": 0.33864447795829433, "CURRENT_RSS": 27914240}
18:50:14.151130->{"CURRENT_PRECENT": 0.33864447795829433, "CURRENT_RSS": 27914240}
18:50:14.651532->{"CURRENT_PRECENT": 0.33864447795829433, "CURRENT_RSS": 27914240}
18:50:15.152921->{"CURRENT_PRECENT": 0.3452036960199957, "CURRENT_RSS": 28454912}
18:50:15.653939->{"CURRENT_PRECENT": 0.35429715742371803, "CURRENT_RSS": 29204480}
18:50:16.155290->{"CURRENT_PRECENT": 0.35573819775545545, "CURRENT_RSS": 29323264}
18:50:16.656088->{"CURRENT_PRECENT": 0.35573819775545545, "CURRENT_RSS": 29323264}
18:50:17.157054->{"CURRENT_PRECENT": 0.35573819775545545, "CURRENT_RSS": 29323264}
18:50:17.658231->{"CURRENT_PRECENT": 0.35573819775545545, "CURRENT_RSS": 29323264}
18:50:18.159568->{"CURRENT_PRECENT": 0.35573819775545545, "CURRENT_RSS": 29323264}
18:50:18.661078->{"CURRENT_PRECENT": 0.3558375798472994, "CURRENT_RSS": 29331456}
18:50:19.162382->{"CURRENT_PRECENT": 0.35608603507690934, "CURRENT_RSS": 29351936}
18:50:19.663598->{"CURRENT_PRECENT": 0.35608603507690934, "CURRENT_RSS": 29351936}
18:50:20.164753->{"CURRENT_PRECENT": 0.3561357261228313, "CURRENT_RSS": 29356032}
18:50:20.665815->{"CURRENT_PRECENT": 0.3561854171687533, "CURRENT_RSS": 29360128}
18:50:21.166858->{"CURRENT_PRECENT": 0.3561854171687533, "CURRENT_RSS": 29360128}
18:50:21.667274->{"CURRENT_PRECENT": 0.3561854171687533, "CURRENT_RSS": 29360128}
18:50:22.168158->{"CURRENT_PRECENT": 0.3561854171687533, "CURRENT_RSS": 29360128}
18:50:22.668868->{"CURRENT_PRECENT": 0.3561854171687533, "CURRENT_RSS": 29360128}
18:50:23.170150->{"CURRENT_PRECENT": 0.3561854171687533, "CURRENT_RSS": 29360128}
18:50:23.671711->{"CURRENT_PRECENT": 0.3561854171687533, "CURRENT_RSS": 29360128}
18:50:24.172942->{"CURRENT_PRECENT": 0.3561854171687533, "CURRENT_RSS": 29360128}
18:50:24.674203->{"CURRENT_PRECENT": 0.3561854171687533, "CURRENT_RSS": 29360128}
18:50:25.175527->{"CURRENT_PRECENT": 0.3570798559953489, "CURRENT_RSS": 29433856}
18:50:25.676997->{"CURRENT_PRECENT": 0.3570798559953489, "CURRENT_RSS": 29433856}
18:50:26.178067->{"CURRENT_PRECENT": 0.3570798559953489, "CURRENT_RSS": 29433856}
18:50:26.679243->{"CURRENT_PRECENT": 0.3570798559953489, "CURRENT_RSS": 29433856}
18:50:27.180548->{"CURRENT_PRECENT": 0.3570798559953489, "CURRENT_RSS": 29433856}
18:50:27.681910->{"CURRENT_PRECENT": 0.3570798559953489, "CURRENT_RSS": 29433856}
18:50:28.182830->{"CURRENT_PRECENT": 0.3570798559953489, "CURRENT_RSS": 29433856}
18:50:28.684786->{"CURRENT_PRECENT": 0.3570798559953489, "CURRENT_RSS": 29433856}
18:50:29.185884->{"CURRENT_PRECENT": 0.3570798559953489, "CURRENT_RSS": 29433856}
18:50:29.686943->{"CURRENT_PRECENT": 0.3570798559953489, "CURRENT_RSS": 29433856}
18:50:30.188405->{"CURRENT_PRECENT": 0.3570798559953489, "CURRENT_RSS": 29433856}
18:50:30.689802->{"CURRENT_PRECENT": 0.3571295470412709, "CURRENT_RSS": 29437952}
18:50:31.190722->{"CURRENT_PRECENT": 0.3571295470412709, "CURRENT_RSS": 29437952}
18:50:31.691765->{"CURRENT_PRECENT": 0.3571295470412709, "CURRENT_RSS": 29437952}
18:50:32.192770->{"CURRENT_PRECENT": 0.3571295470412709, "CURRENT_RSS": 29437952}
18:50:32.693332->{"CURRENT_PRECENT": 0.3571295470412709, "CURRENT_RSS": 29437952}
18:50:33.196199->{"CURRENT_PRECENT": 0.3571295470412709, "CURRENT_RSS": 29437952}
18:50:33.697658->{"CURRENT_PRECENT": 0.3571295470412709, "CURRENT_RSS": 29437952}
18:50:34.199137->{"CURRENT_PRECENT": 0.3571295470412709, "CURRENT_RSS": 29437952}
18:50:34.700510->{"CURRENT_PRECENT": 0.3571295470412709, "CURRENT_RSS": 29437952}
18:50:35.201855->{"CURRENT_PRECENT": 0.3571295470412709, "CURRENT_RSS": 29437952}
18:50:35.703062->{"CURRENT_PRECENT": 0.3571295470412709, "CURRENT_RSS": 29437952}
18:50:36.203949->{"CURRENT_PRECENT": 0.3571295470412709, "CURRENT_RSS": 29437952}
18:50:36.705491->{"CURRENT_PRECENT": 0.3604091560721216, "CURRENT_RSS": 29708288}
18:50:37.206581->{"CURRENT_PRECENT": 0.3604091560721216, "CURRENT_RSS": 29708288}
18:50:37.708050->{"CURRENT_PRECENT": 0.3604091560721216, "CURRENT_RSS": 29708288}
18:50:38.209670->{"CURRENT_PRECENT": 0.3604091560721216, "CURRENT_RSS": 29708288}
18:50:38.710888->{"CURRENT_PRECENT": 0.3604091560721216, "CURRENT_RSS": 29708288}
18:50:39.212194->{"CURRENT_PRECENT": 0.3604091560721216, "CURRENT_RSS": 29708288}
18:50:39.713446->{"CURRENT_PRECENT": 0.3604091560721216, "CURRENT_RSS": 29708288}
18:50:40.214517->{"CURRENT_PRECENT": 0.3604091560721216, "CURRENT_RSS": 29708288}
18:50:40.715456->{"CURRENT_PRECENT": 0.3604091560721216, "CURRENT_RSS": 29708288}
18:50:41.216131->{"CURRENT_PRECENT": 0.3604091560721216, "CURRENT_RSS": 29708288}
18:50:41.717047->{"CURRENT_PRECENT": 0.3604091560721216, "CURRENT_RSS": 29708288}
18:50:42.217824->{"CURRENT_PRECENT": 0.3604091560721216, "CURRENT_RSS": 29708288}
18:50:42.718334->{"CURRENT_PRECENT": 0.3604091560721216, "CURRENT_RSS": 29708288}
18:50:43.219907->{"CURRENT_PRECENT": 0.3604091560721216, "CURRENT_RSS": 29708288}
18:50:43.721064->{"CURRENT_PRECENT": 0.3604091560721216, "CURRENT_RSS": 29708288}
18:50:44.222510->{"CURRENT_PRECENT": 0.3604091560721216, "CURRENT_RSS": 29708288}
18:50:44.724165->{"CURRENT_PRECENT": 0.3604091560721216, "CURRENT_RSS": 29708288}
18:50:45.225578->{"CURRENT_PRECENT": 0.3604091560721216, "CURRENT_RSS": 29708288}
18:50:45.727138->{"CURRENT_PRECENT": 0.3604091560721216, "CURRENT_RSS": 29708288}
18:50:46.228479->{"CURRENT_PRECENT": 0.3604091560721216, "CURRENT_RSS": 29708288}
18:50:46.729875->{"CURRENT_PRECENT": 0.3604091560721216, "CURRENT_RSS": 29708288}
18:50:47.231407->{"CURRENT_PRECENT": 0.3604091560721216, "CURRENT_RSS": 29708288}
18:50:47.732919->{"CURRENT_PRECENT": 0.3604091560721216, "CURRENT_RSS": 29708288}
18:50:48.234011->{"CURRENT_PRECENT": 0.3604091560721216, "CURRENT_RSS": 29708288}
18:50:48.735444->{"CURRENT_PRECENT": 0.3604091560721216, "CURRENT_RSS": 29708288}
18:50:49.236731->{"CURRENT_PRECENT": 0.3604091560721216, "CURRENT_RSS": 29708288}
18:50:49.737881->{"CURRENT_PRECENT": 0.3604091560721216, "CURRENT_RSS": 29708288}
18:50:50.238952->{"CURRENT_PRECENT": 0.3604091560721216, "CURRENT_RSS": 29708288}
18:50:50.740059->{"CURRENT_PRECENT": 0.3604091560721216, "CURRENT_RSS": 29708288}
18:50:51.241558->{"CURRENT_PRECENT": 0.3606576113017315, "CURRENT_RSS": 29728768}
18:50:51.742595->{"CURRENT_PRECENT": 0.3606576113017315, "CURRENT_RSS": 29728768}
18:50:52.244519->{"CURRENT_PRECENT": 0.3606576113017315, "CURRENT_RSS": 29728768}
18:50:52.746359->{"CURRENT_PRECENT": 0.3606576113017315, "CURRENT_RSS": 29728768}
18:50:53.247595->{"CURRENT_PRECENT": 0.3606576113017315, "CURRENT_RSS": 29728768}
18:50:53.748847->{"CURRENT_PRECENT": 0.3606576113017315, "CURRENT_RSS": 29728768}
18:50:54.250419->{"CURRENT_PRECENT": 0.3606576113017315, "CURRENT_RSS": 29728768}
18:50:54.752084->{"CURRENT_PRECENT": 0.3606576113017315, "CURRENT_RSS": 29728768}
18:50:55.253341->{"CURRENT_PRECENT": 0.3606576113017315, "CURRENT_RSS": 29728768}
18:50:55.755463->{"CURRENT_PRECENT": 0.3606576113017315, "CURRENT_RSS": 29728768}
18:50:56.257856->{"CURRENT_PRECENT": 0.3606576113017315, "CURRENT_RSS": 29728768}
18:50:56.759267->{"CURRENT_PRECENT": 0.3606576113017315, "CURRENT_RSS": 29728768}
18:50:57.260739->{"CURRENT_PRECENT": 0.3606576113017315, "CURRENT_RSS": 29728768}
18:50:57.762419->{"CURRENT_PRECENT": 0.3606576113017315, "CURRENT_RSS": 29728768}
18:50:58.263724->{"CURRENT_PRECENT": 0.3606576113017315, "CURRENT_RSS": 29728768}
18:50:58.764877->{"CURRENT_PRECENT": 0.3606576113017315, "CURRENT_RSS": 29728768}
18:50:59.266418->{"CURRENT_PRECENT": 0.3606576113017315, "CURRENT_RSS": 29728768}
18:50:59.767861->{"CURRENT_PRECENT": 0.3606576113017315, "CURRENT_RSS": 29728768}
18:51:00.269645->{"CURRENT_PRECENT": 0.3606576113017315, "CURRENT_RSS": 29728768}
18:51:00.771011->{"CURRENT_PRECENT": 0.3606576113017315, "CURRENT_RSS": 29728768}
18:51:01.272155->{"CURRENT_PRECENT": 0.3606576113017315, "CURRENT_RSS": 29728768}
18:51:01.773481->{"CURRENT_PRECENT": 0.3606576113017315, "CURRENT_RSS": 29728768}
18:51:02.274371->{"CURRENT_PRECENT": 0.3606576113017315, "CURRENT_RSS": 29728768}
18:51:02.775861->{"CURRENT_PRECENT": 0.3606576113017315, "CURRENT_RSS": 29728768}
18:51:03.277582->{"CURRENT_PRECENT": 0.3606576113017315, "CURRENT_RSS": 29728768}
18:51:03.779018->{"CURRENT_PRECENT": 0.3606576113017315, "CURRENT_RSS": 29728768}
18:51:04.280801->{"CURRENT_PRECENT": 0.3606576113017315, "CURRENT_RSS": 29728768}
18:51:04.782460->{"CURRENT_PRECENT": 0.3606576113017315, "CURRENT_RSS": 29728768}
18:51:05.283822->{"CURRENT_PRECENT": 0.3606576113017315, "CURRENT_RSS": 29728768}
18:51:05.785587->{"CURRENT_PRECENT": 0.3606576113017315, "CURRENT_RSS": 29728768}
18:51:06.286547->{"CURRENT_PRECENT": 0.3606576113017315, "CURRENT_RSS": 29728768}
18:51:06.787281->{"CURRENT_PRECENT": 0.3606576113017315, "CURRENT_RSS": 29728768}
