11:56:56.920854->{"CURRENT_RSS": 23216128, "CURRENT_PRECENT": 0.2816488482857832}
11:56:57.421714->{"CURRENT_RSS": 25194496, "CURRENT_PRECENT": 0.30564962346609953}
11:56:57.922464->{"CURRENT_RSS": 25333760, "CURRENT_PRECENT": 0.30733911902744687}
11:56:58.423064->{"CURRENT_RSS": 27160576, "CURRENT_PRECENT": 0.32950132550864997}
11:56:58.932580->{"CURRENT_RSS": 27160576, "CURRENT_PRECENT": 0.32950132550864997}
11:56:59.441737->{"CURRENT_RSS": 27193344, "CURRENT_PRECENT": 0.32989885387602585}
11:56:59.942104->{"CURRENT_RSS": 27201536, "CURRENT_PRECENT": 0.32999823596786976}
11:57:00.442529->{"CURRENT_RSS": 27246592, "CURRENT_PRECENT": 0.33054483747301155}
11:57:00.943321->{"CURRENT_RSS": 27373568, "CURRENT_PRECENT": 0.33208525989659293}
11:57:01.444113->{"CURRENT_RSS": 27770880, "CURRENT_PRECENT": 0.336905291351025}
11:57:01.944484->{"CURRENT_RSS": 27770880, "CURRENT_PRECENT": 0.336905291351025}
11:57:02.444887->{"CURRENT_RSS": 27770880, "CURRENT_PRECENT": 0.336905291351025}
11:57:02.945732->{"CURRENT_RSS": 27770880, "CURRENT_PRECENT": 0.336905291351025}
11:57:03.446433->{"CURRENT_RSS": 27770880, "CURRENT_PRECENT": 0.336905291351025}
11:57:03.947260->{"CURRENT_RSS": 27770880, "CURRENT_PRECENT": 0.336905291351025}
11:57:04.448015->{"CURRENT_RSS": 27770880, "CURRENT_PRECENT": 0.336905291351025}
11:57:04.948733->{"CURRENT_RSS": 27770880, "CURRENT_PRECENT": 0.336905291351025}
11:57:05.449853->{"CURRENT_RSS": 27770880, "CURRENT_PRECENT": 0.336905291351025}
11:57:05.950588->{"CURRENT_RSS": 28041216, "CURRENT_PRECENT": 0.34018490038187565}
11:57:06.451433->{"CURRENT_RSS": 28311552, "CURRENT_PRECENT": 0.3434645094127264}
11:57:06.952271->{"CURRENT_RSS": 28536832, "CURRENT_PRECENT": 0.34619751693843526}
11:57:07.452778->{"CURRENT_RSS": 28979200, "CURRENT_PRECENT": 0.3515641498980091}
11:57:07.953652->{"CURRENT_RSS": 29044736, "CURRENT_PRECENT": 0.3523592066327608}
11:57:08.453970->{"CURRENT_RSS": 29044736, "CURRENT_PRECENT": 0.3523592066327608}
11:57:08.954841->{"CURRENT_RSS": 29097984, "CURRENT_PRECENT": 0.3530051902297466}
11:57:09.456255->{"CURRENT_RSS": 29097984, "CURRENT_PRECENT": 0.3530051902297466}
11:57:09.957583->{"CURRENT_RSS": 29106176, "CURRENT_PRECENT": 0.35310457232159054}
11:57:10.458877->{"CURRENT_RSS": 29106176, "CURRENT_PRECENT": 0.35310457232159054}
11:57:10.959603->{"CURRENT_RSS": 29106176, "CURRENT_PRECENT": 0.35310457232159054}
11:57:11.460366->{"CURRENT_RSS": 29106176, "CURRENT_PRECENT": 0.35310457232159054}
11:57:11.961611->{"CURRENT_RSS": 29106176, "CURRENT_PRECENT": 0.35310457232159054}
11:57:12.463010->{"CURRENT_RSS": 29106176, "CURRENT_PRECENT": 0.35310457232159054}
11:57:12.963873->{"CURRENT_RSS": 29106176, "CURRENT_PRECENT": 0.35310457232159054}
11:57:13.465066->{"CURRENT_RSS": 29265920, "CURRENT_PRECENT": 0.35504252311254775}
11:57:13.966057->{"CURRENT_RSS": 29265920, "CURRENT_PRECENT": 0.35504252311254775}
11:57:14.467968->{"CURRENT_RSS": 29265920, "CURRENT_PRECENT": 0.35504252311254775}
11:57:14.969729->{"CURRENT_RSS": 29265920, "CURRENT_PRECENT": 0.35504252311254775}
11:57:15.470975->{"CURRENT_RSS": 29265920, "CURRENT_PRECENT": 0.35504252311254775}
