11:58:17.360273->{"CURRENT_RSS": 22626304, "CURRENT_PRECENT": 0.27449333767301803}
11:58:17.861137->{"CURRENT_RSS": 23113728, "CURRENT_PRECENT": 0.2804065721377336}
11:58:18.361720->{"CURRENT_RSS": 23113728, "CURRENT_PRECENT": 0.2804065721377336}
11:58:18.862545->{"CURRENT_RSS": 23252992, "CURRENT_PRECENT": 0.28209606769908097}
11:58:19.363336->{"CURRENT_RSS": 23252992, "CURRENT_PRECENT": 0.28209606769908097}
11:58:19.863971->{"CURRENT_RSS": 24940544, "CURRENT_PRECENT": 0.3025687786189368}
11:58:20.364975->{"CURRENT_RSS": 25247744, "CURRENT_PRECENT": 0.3062956070630853}
11:58:20.865375->{"CURRENT_RSS": 25264128, "CURRENT_PRECENT": 0.3064943712467732}
11:58:21.365982->{"CURRENT_RSS": 25518080, "CURRENT_PRECENT": 0.30957521609393596}
11:58:21.866768->{"CURRENT_RSS": 25657344, "CURRENT_PRECENT": 0.31126471165528324}
11:58:22.367570->{"CURRENT_RSS": 27648000, "CURRENT_PRECENT": 0.3354145599733656}
11:58:22.868418->{"CURRENT_RSS": 27652096, "CURRENT_PRECENT": 0.3354642510192876}
11:58:23.369034->{"CURRENT_RSS": 27652096, "CURRENT_PRECENT": 0.3354642510192876}
11:58:23.869732->{"CURRENT_RSS": 27652096, "CURRENT_PRECENT": 0.3354642510192876}
11:58:24.370841->{"CURRENT_RSS": 27922432, "CURRENT_PRECENT": 0.33874386005013823}
11:58:24.872037->{"CURRENT_RSS": 27922432, "CURRENT_PRECENT": 0.33874386005013823}
11:58:25.373173->{"CURRENT_RSS": 27922432, "CURRENT_PRECENT": 0.33874386005013823}
11:58:25.874674->{"CURRENT_RSS": 27922432, "CURRENT_PRECENT": 0.33874386005013823}
11:58:26.376207->{"CURRENT_RSS": 27922432, "CURRENT_PRECENT": 0.33874386005013823}
11:58:26.877148->{"CURRENT_RSS": 28192768, "CURRENT_PRECENT": 0.34202346908098896}
11:58:27.378538->{"CURRENT_RSS": 28450816, "CURRENT_PRECENT": 0.3451540049740737}
11:58:27.879222->{"CURRENT_RSS": 29024256, "CURRENT_PRECENT": 0.3521107514031509}
11:58:28.380424->{"CURRENT_RSS": 29024256, "CURRENT_PRECENT": 0.3521107514031509}
11:58:28.881845->{"CURRENT_RSS": 29057024, "CURRENT_PRECENT": 0.35250827977052673}
11:58:29.383355->{"CURRENT_RSS": 29229056, "CURRENT_PRECENT": 0.3545953036992499}
11:58:29.884653->{"CURRENT_RSS": 29229056, "CURRENT_PRECENT": 0.3545953036992499}
11:58:30.386065->{"CURRENT_RSS": 29233152, "CURRENT_PRECENT": 0.35464499474517186}
11:58:30.886968->{"CURRENT_RSS": 29552640, "CURRENT_PRECENT": 0.35852089632708634}
11:58:31.387800->{"CURRENT_RSS": 29605888, "CURRENT_PRECENT": 0.3591668799240721}
11:58:31.888715->{"CURRENT_RSS": 29605888, "CURRENT_PRECENT": 0.3591668799240721}
11:58:32.389769->{"CURRENT_RSS": 29605888, "CURRENT_PRECENT": 0.3591668799240721}
11:58:32.891195->{"CURRENT_RSS": 29605888, "CURRENT_PRECENT": 0.3591668799240721}
11:58:33.392608->{"CURRENT_RSS": 29605888, "CURRENT_PRECENT": 0.3591668799240721}
11:58:33.893824->{"CURRENT_RSS": 29605888, "CURRENT_PRECENT": 0.3591668799240721}
11:58:34.395185->{"CURRENT_RSS": 29605888, "CURRENT_PRECENT": 0.3591668799240721}
