18:44:49.914545->{"CURRENT_RSS": 22941696, "CURRENT_PRECENT": 0.2783195482090105}
18:44:50.415980->{"CURRENT_RSS": 23183360, "CURRENT_PRECENT": 0.2812513199184073}
18:44:50.916603->{"CURRENT_RSS": 23334912, "CURRENT_PRECENT": 0.2830898886175206}
18:44:51.417291->{"CURRENT_RSS": 24842240, "CURRENT_PRECENT": 0.3013761935168092}
18:44:51.918417->{"CURRENT_RSS": 25174016, "CURRENT_PRECENT": 0.3054011682364896}
18:44:52.418922->{"CURRENT_RSS": 25190400, "CURRENT_PRECENT": 0.3055999324201775}
18:44:52.919471->{"CURRENT_RSS": 25202688, "CURRENT_PRECENT": 0.3057490055579435}
18:44:53.420192->{"CURRENT_RSS": 26193920, "CURRENT_PRECENT": 0.31777423867106264}
18:44:53.920821->{"CURRENT_RSS": 26214400, "CURRENT_PRECENT": 0.31802269390067256}
18:44:54.421480->{"CURRENT_RSS": 26521600, "CURRENT_PRECENT": 0.32174952234482107}
18:44:54.923043->{"CURRENT_RSS": 26521600, "CURRENT_PRECENT": 0.32174952234482107}
18:44:55.424056->{"CURRENT_RSS": 26521600, "CURRENT_PRECENT": 0.32174952234482107}
18:44:55.925363->{"CURRENT_RSS": 28532736, "CURRENT_PRECENT": 0.3461478258925133}
18:44:56.425897->{"CURRENT_RSS": 28532736, "CURRENT_PRECENT": 0.3461478258925133}
18:44:56.927148->{"CURRENT_RSS": 28549120, "CURRENT_PRECENT": 0.3463465900762012}
18:44:57.428196->{"CURRENT_RSS": 28549120, "CURRENT_PRECENT": 0.3463465900762012}
18:44:57.929661->{"CURRENT_RSS": 28549120, "CURRENT_PRECENT": 0.3463465900762012}
18:44:58.430523->{"CURRENT_RSS": 28553216, "CURRENT_PRECENT": 0.3463962811221232}
18:44:58.931987->{"CURRENT_RSS": 29245440, "CURRENT_PRECENT": 0.3547940678829378}
18:44:59.433587->{"CURRENT_RSS": 29388800, "CURRENT_PRECENT": 0.3565332544902071}
18:44:59.934168->{"CURRENT_RSS": 29470720, "CURRENT_PRECENT": 0.35752707540864676}
18:45:00.434880->{"CURRENT_RSS": 29470720, "CURRENT_PRECENT": 0.35752707540864676}
18:45:00.935837->{"CURRENT_RSS": 29741056, "CURRENT_PRECENT": 0.3608066844394974}
18:45:01.437167->{"CURRENT_RSS": 29741056, "CURRENT_PRECENT": 0.3608066844394974}
18:45:01.938320->{"CURRENT_RSS": 29773824, "CURRENT_PRECENT": 0.36120421280687326}
18:45:02.439198->{"CURRENT_RSS": 29773824, "CURRENT_PRECENT": 0.36120421280687326}
18:45:02.940310->{"CURRENT_RSS": 29773824, "CURRENT_PRECENT": 0.36120421280687326}
18:45:03.441070->{"CURRENT_RSS": 29777920, "CURRENT_PRECENT": 0.36125390385279527}
18:45:03.942430->{"CURRENT_RSS": 29982720, "CURRENT_PRECENT": 0.3637384561488943}
18:45:04.443290->{"CURRENT_RSS": 29986816, "CURRENT_PRECENT": 0.3637881471948162}
18:45:04.944710->{"CURRENT_RSS": 29986816, "CURRENT_PRECENT": 0.3637881471948162}
18:45:05.445903->{"CURRENT_RSS": 29986816, "CURRENT_PRECENT": 0.3637881471948162}
18:45:05.947372->{"CURRENT_RSS": 29986816, "CURRENT_PRECENT": 0.3637881471948162}
18:45:06.448450->{"CURRENT_RSS": 29986816, "CURRENT_PRECENT": 0.3637881471948162}
