20:02:34.591061->{"CURRENT_RSS": 22552576, "CURRENT_PRECENT": 0.27359889884642236}
20:02:35.091908->{"CURRENT_RSS": 23240704, "CURRENT_PRECENT": 0.281946994561315}
20:02:35.592421->{"CURRENT_RSS": 23379968, "CURRENT_PRECENT": 0.28363649012266234}
20:02:36.093012->{"CURRENT_RSS": 25051136, "CURRENT_PRECENT": 0.30391043685883024}
20:02:36.593889->{"CURRENT_RSS": 25399296, "CURRENT_PRECENT": 0.30813417576219854}
20:02:37.094706->{"CURRENT_RSS": 25399296, "CURRENT_PRECENT": 0.30813417576219854}
20:02:37.595518->{"CURRENT_RSS": 25411584, "CURRENT_PRECENT": 0.3082832488999645}
20:02:38.096322->{"CURRENT_RSS": 25427968, "CURRENT_PRECENT": 0.30848201308365236}
20:02:38.597055->{"CURRENT_RSS": 25436160, "CURRENT_PRECENT": 0.3085813951754964}
20:02:39.097831->{"CURRENT_RSS": 25493504, "CURRENT_PRECENT": 0.3092770698184041}
20:02:39.598683->{"CURRENT_RSS": 25513984, "CURRENT_PRECENT": 0.30952552504801395}
20:02:40.099299->{"CURRENT_RSS": 25513984, "CURRENT_PRECENT": 0.30952552504801395}
20:02:40.600030->{"CURRENT_RSS": 25513984, "CURRENT_PRECENT": 0.30952552504801395}
20:02:41.101226->{"CURRENT_RSS": 25526272, "CURRENT_PRECENT": 0.3096745981857799}
20:02:41.602451->{"CURRENT_RSS": 25526272, "CURRENT_PRECENT": 0.3096745981857799}
20:02:42.103622->{"CURRENT_RSS": 25526272, "CURRENT_PRECENT": 0.3096745981857799}
20:02:42.604890->{"CURRENT_RSS": 25526272, "CURRENT_PRECENT": 0.3096745981857799}
20:02:43.105229->{"CURRENT_RSS": 25526272, "CURRENT_PRECENT": 0.3096745981857799}
20:02:43.606344->{"CURRENT_RSS": 25526272, "CURRENT_PRECENT": 0.3096745981857799}
20:02:44.107711->{"CURRENT_RSS": 28160000, "CURRENT_PRECENT": 0.34162594071361313}
20:02:44.609216->{"CURRENT_RSS": 28766208, "CURRENT_PRECENT": 0.3489802155100662}
20:02:45.110437->{"CURRENT_RSS": 28770304, "CURRENT_PRECENT": 0.34902990655598815}
20:02:45.610946->{"CURRENT_RSS": 28770304, "CURRENT_PRECENT": 0.34902990655598815}
20:02:46.111981->{"CURRENT_RSS": 28774400, "CURRENT_PRECENT": 0.3490795976019101}
20:02:46.613103->{"CURRENT_RSS": 28794880, "CURRENT_PRECENT": 0.34932805283152}
20:02:47.114805->{"CURRENT_RSS": 28811264, "CURRENT_PRECENT": 0.349526817015208}
20:02:47.615930->{"CURRENT_RSS": 28811264, "CURRENT_PRECENT": 0.349526817015208}
20:02:48.117942->{"CURRENT_RSS": 28815360, "CURRENT_PRECENT": 0.34957650806112994}
20:02:48.618568->{"CURRENT_RSS": 28815360, "CURRENT_PRECENT": 0.34957650806112994}
20:02:49.120954->{"CURRENT_RSS": 29085696, "CURRENT_PRECENT": 0.3528561170919806}
20:02:49.621828->{"CURRENT_RSS": 29093888, "CURRENT_PRECENT": 0.3529554991838246}
20:02:50.122656->{"CURRENT_RSS": 29093888, "CURRENT_PRECENT": 0.3529554991838246}
20:02:50.623678->{"CURRENT_RSS": 29093888, "CURRENT_PRECENT": 0.3529554991838246}
