11:56:17.658953->{"CURRENT_PRECENT": 0.2723566226983729, "CURRENT_RSS": 22450176}
11:56:18.159780->{"CURRENT_PRECENT": 0.28070471841326555, "CURRENT_RSS": 23138304}
11:56:18.660265->{"CURRENT_PRECENT": 0.28239421397461284, "CURRENT_RSS": 23277568}
11:56:19.161025->{"CURRENT_PRECENT": 0.30530178614464565, "CURRENT_RSS": 25165824}
11:56:19.661556->{"CURRENT_PRECENT": 0.3082832488999645, "CURRENT_RSS": 25411584}
11:56:20.163142->{"CURRENT_PRECENT": 0.3083826309918084, "CURRENT_RSS": 25419776}
11:56:20.663901->{"CURRENT_PRECENT": 0.30878015935918424, "CURRENT_RSS": 25452544}
11:56:21.164493->{"CURRENT_PRECENT": 0.3099727444613118, "CURRENT_RSS": 25550848}
11:56:21.665324->{"CURRENT_PRECENT": 0.3112150206093613, "CURRENT_RSS": 25653248}
11:56:22.166627->{"CURRENT_PRECENT": 0.3413774854840032, "CURRENT_RSS": 28139520}
11:56:22.667135->{"CURRENT_PRECENT": 0.34182470489730105, "CURRENT_RSS": 28176384}
11:56:23.168336->{"CURRENT_PRECENT": 0.341874395943223, "CURRENT_RSS": 28180480}
11:56:23.669391->{"CURRENT_PRECENT": 0.3420731601269109, "CURRENT_RSS": 28196864}
11:56:24.170581->{"CURRENT_PRECENT": 0.3420731601269109, "CURRENT_RSS": 28196864}
11:56:24.671750->{"CURRENT_PRECENT": 0.3420731601269109, "CURRENT_RSS": 28196864}
11:56:25.172821->{"CURRENT_PRECENT": 0.3420731601269109, "CURRENT_RSS": 28196864}
11:56:25.673946->{"CURRENT_PRECENT": 0.3420731601269109, "CURRENT_RSS": 28196864}
11:56:26.175331->{"CURRENT_PRECENT": 0.3420731601269109, "CURRENT_RSS": 28196864}
11:56:26.676780->{"CURRENT_PRECENT": 0.3420731601269109, "CURRENT_RSS": 28196864}
11:56:27.177897->{"CURRENT_PRECENT": 0.3451540049740737, "CURRENT_RSS": 28450816}
11:56:27.679221->{"CURRENT_PRECENT": 0.349377743877442, "CURRENT_RSS": 28798976}
11:56:28.180419->{"CURRENT_PRECENT": 0.35146476780616515, "CURRENT_RSS": 28971008}
11:56:28.681825->{"CURRENT_PRECENT": 0.35146476780616515, "CURRENT_RSS": 28971008}
11:56:29.183341->{"CURRENT_PRECENT": 0.35146476780616515, "CURRENT_RSS": 28971008}
11:56:29.684343->{"CURRENT_PRECENT": 0.35146476780616515, "CURRENT_RSS": 28971008}
11:56:30.185710->{"CURRENT_PRECENT": 0.35146476780616515, "CURRENT_RSS": 28971008}
11:56:30.686168->{"CURRENT_PRECENT": 0.35146476780616515, "CURRENT_RSS": 28971008}
11:56:31.187293->{"CURRENT_PRECENT": 0.3526076618623707, "CURRENT_RSS": 29065216}
11:56:31.687859->{"CURRENT_PRECENT": 0.3526076618623707, "CURRENT_RSS": 29065216}
11:56:32.188759->{"CURRENT_PRECENT": 0.3526076618623707, "CURRENT_RSS": 29065216}
11:56:32.689783->{"CURRENT_PRECENT": 0.3526076618623707, "CURRENT_RSS": 29065216}
11:56:33.191339->{"CURRENT_PRECENT": 0.3526076618623707, "CURRENT_RSS": 29065216}
11:56:33.692787->{"CURRENT_PRECENT": 0.3526076618623707, "CURRENT_RSS": 29065216}
11:56:34.193851->{"CURRENT_PRECENT": 0.3526076618623707, "CURRENT_RSS": 29065216}
11:56:34.694716->{"CURRENT_PRECENT": 0.3526076618623707, "CURRENT_RSS": 29065216}
11:56:35.195783->{"CURRENT_PRECENT": 0.3527070439542147, "CURRENT_RSS": 29073408}
11:56:35.696735->{"CURRENT_PRECENT": 0.3527070439542147, "CURRENT_RSS": 29073408}
11:56:36.198106->{"CURRENT_PRECENT": 0.3527070439542147, "CURRENT_RSS": 29073408}
11:56:36.699119->{"CURRENT_PRECENT": 0.3527070439542147, "CURRENT_RSS": 29073408}
11:56:37.200270->{"CURRENT_PRECENT": 0.3527070439542147, "CURRENT_RSS": 29073408}
11:56:37.701761->{"CURRENT_PRECENT": 0.3529554991838246, "CURRENT_RSS": 29093888}
11:56:38.203352->{"CURRENT_PRECENT": 0.3529554991838246, "CURRENT_RSS": 29093888}
11:56:38.704761->{"CURRENT_PRECENT": 0.3529554991838246, "CURRENT_RSS": 29093888}
11:56:39.206292->{"CURRENT_PRECENT": 0.3529554991838246, "CURRENT_RSS": 29093888}
11:56:39.707268->{"CURRENT_PRECENT": 0.3529554991838246, "CURRENT_RSS": 29093888}
11:56:40.208727->{"CURRENT_PRECENT": 0.35623510821467524, "CURRENT_RSS": 29364224}
11:56:40.709542->{"CURRENT_PRECENT": 0.35623510821467524, "CURRENT_RSS": 29364224}
11:56:41.211066->{"CURRENT_PRECENT": 0.35623510821467524, "CURRENT_RSS": 29364224}
11:56:41.712594->{"CURRENT_PRECENT": 0.35623510821467524, "CURRENT_RSS": 29364224}
11:56:42.214030->{"CURRENT_PRECENT": 0.35623510821467524, "CURRENT_RSS": 29364224}
11:56:42.715752->{"CURRENT_PRECENT": 0.35623510821467524, "CURRENT_RSS": 29364224}
11:56:43.217536->{"CURRENT_PRECENT": 0.35951471724552597, "CURRENT_RSS": 29634560}
11:56:43.718906->{"CURRENT_PRECENT": 0.35951471724552597, "CURRENT_RSS": 29634560}
11:56:44.220666->{"CURRENT_PRECENT": 0.35951471724552597, "CURRENT_RSS": 29634560}
11:56:44.722296->{"CURRENT_PRECENT": 0.35951471724552597, "CURRENT_RSS": 29634560}
11:56:45.224238->{"CURRENT_PRECENT": 0.35951471724552597, "CURRENT_RSS": 29634560}
11:56:45.725983->{"CURRENT_PRECENT": 0.35951471724552597, "CURRENT_RSS": 29634560}
11:56:46.227344->{"CURRENT_PRECENT": 0.35951471724552597, "CURRENT_RSS": 29634560}
11:56:46.729030->{"CURRENT_PRECENT": 0.35951471724552597, "CURRENT_RSS": 29634560}
11:56:47.230321->{"CURRENT_PRECENT": 0.35951471724552597, "CURRENT_RSS": 29634560}
11:56:47.731896->{"CURRENT_PRECENT": 0.35951471724552597, "CURRENT_RSS": 29634560}
11:56:48.233612->{"CURRENT_PRECENT": 0.35951471724552597, "CURRENT_RSS": 29634560}
11:56:48.734959->{"CURRENT_PRECENT": 0.35951471724552597, "CURRENT_RSS": 29634560}
11:56:49.236821->{"CURRENT_PRECENT": 0.35951471724552597, "CURRENT_RSS": 29634560}
11:56:49.738349->{"CURRENT_PRECENT": 0.35951471724552597, "CURRENT_RSS": 29634560}
