11:58:17.676053->{"CURRENT_PRECENT": 0.267039680784721, "CURRENT_RSS": 22011904}
11:58:18.176900->{"CURRENT_PRECENT": 0.2816488482857832, "CURRENT_RSS": 23216128}
11:58:18.677708->{"CURRENT_PRECENT": 0.2816488482857832, "CURRENT_RSS": 23216128}
11:58:19.178526->{"CURRENT_PRECENT": 0.2816488482857832, "CURRENT_RSS": 23216128}
11:58:19.679264->{"CURRENT_PRECENT": 0.2833880348930525, "CURRENT_RSS": 23359488}
11:58:20.179945->{"CURRENT_PRECENT": 0.30341352639961044, "CURRENT_RSS": 25010176}
11:58:20.680939->{"CURRENT_PRECENT": 0.3063949891549292, "CURRENT_RSS": 25255936}
11:58:21.181759->{"CURRENT_PRECENT": 0.3063949891549292, "CURRENT_RSS": 25255936}
11:58:21.682313->{"CURRENT_PRECENT": 0.30659375333861716, "CURRENT_RSS": 25272320}
11:58:22.182739->{"CURRENT_PRECENT": 0.3385947869123723, "CURRENT_RSS": 27910144}
11:58:22.683353->{"CURRENT_PRECENT": 0.34232161535652084, "CURRENT_RSS": 28217344}
11:58:23.184531->{"CURRENT_PRECENT": 0.3425700705861307, "CURRENT_RSS": 28237824}
11:58:23.685189->{"CURRENT_PRECENT": 0.3425700705861307, "CURRENT_RSS": 28237824}
11:58:24.185944->{"CURRENT_PRECENT": 0.3436135825504923, "CURRENT_RSS": 28323840}
11:58:24.687341->{"CURRENT_PRECENT": 0.3436135825504923, "CURRENT_RSS": 28323840}
11:58:25.188229->{"CURRENT_PRECENT": 0.3436135825504923, "CURRENT_RSS": 28323840}
11:58:25.689562->{"CURRENT_PRECENT": 0.3439614198719462, "CURRENT_RSS": 28352512}
11:58:26.191071->{"CURRENT_PRECENT": 0.3439614198719462, "CURRENT_RSS": 28352512}
11:58:26.691982->{"CURRENT_PRECENT": 0.3439614198719462, "CURRENT_RSS": 28352512}
11:58:27.192988->{"CURRENT_PRECENT": 0.3479367035457046, "CURRENT_RSS": 28680192}
11:58:27.695029->{"CURRENT_PRECENT": 0.3498746543366618, "CURRENT_RSS": 28839936}
11:58:28.196677->{"CURRENT_PRECENT": 0.3499243453825838, "CURRENT_RSS": 28844032}
11:58:28.697825->{"CURRENT_PRECENT": 0.3499243453825838, "CURRENT_RSS": 28844032}
11:58:29.198995->{"CURRENT_PRECENT": 0.35623510821467524, "CURRENT_RSS": 29364224}
11:58:29.699679->{"CURRENT_PRECENT": 0.35623510821467524, "CURRENT_RSS": 29364224}
11:58:30.200993->{"CURRENT_PRECENT": 0.35623510821467524, "CURRENT_RSS": 29364224}
11:58:30.701810->{"CURRENT_PRECENT": 0.35623510821467524, "CURRENT_RSS": 29364224}
11:58:31.202976->{"CURRENT_PRECENT": 0.3570798559953489, "CURRENT_RSS": 29433856}
11:58:31.703783->{"CURRENT_PRECENT": 0.3570798559953489, "CURRENT_RSS": 29433856}
11:58:32.204749->{"CURRENT_PRECENT": 0.3570798559953489, "CURRENT_RSS": 29433856}
11:58:32.705710->{"CURRENT_PRECENT": 0.3570798559953489, "CURRENT_RSS": 29433856}
11:58:33.206570->{"CURRENT_PRECENT": 0.3570798559953489, "CURRENT_RSS": 29433856}
