18:42:47.053262->{"CURRENT_RSS": 22544384, "CURRENT_PRECENT": 0.2734995167545784}
18:42:47.554436->{"CURRENT_RSS": 24530944, "CURRENT_PRECENT": 0.29759967402673876}
18:42:48.054985->{"CURRENT_RSS": 24530944, "CURRENT_PRECENT": 0.29759967402673876}
18:42:48.555980->{"CURRENT_RSS": 26046464, "CURRENT_PRECENT": 0.3159853610178714}
18:42:49.056763->{"CURRENT_RSS": 26046464, "CURRENT_PRECENT": 0.3159853610178714}
18:42:49.557505->{"CURRENT_RSS": 26058752, "CURRENT_PRECENT": 0.31613443415563736}
18:42:50.059613->{"CURRENT_RSS": 26066944, "CURRENT_PRECENT": 0.3162338162474813}
18:42:50.560190->{"CURRENT_RSS": 26091520, "CURRENT_PRECENT": 0.3165319625230132}
18:42:51.060871->{"CURRENT_RSS": 26099712, "CURRENT_PRECENT": 0.31663134461485715}
18:42:51.561372->{"CURRENT_RSS": 26165248, "CURRENT_PRECENT": 0.3174264013496088}
18:42:52.062112->{"CURRENT_RSS": 26476544, "CURRENT_PRECENT": 0.3212029208396793}
18:42:52.563346->{"CURRENT_RSS": 27262976, "CURRENT_PRECENT": 0.33074360165669947}
18:42:53.063964->{"CURRENT_RSS": 27291648, "CURRENT_PRECENT": 0.33109143897815335}
18:42:53.564720->{"CURRENT_RSS": 27291648, "CURRENT_PRECENT": 0.33109143897815335}
18:42:54.065880->{"CURRENT_RSS": 27291648, "CURRENT_PRECENT": 0.33109143897815335}
18:42:54.567026->{"CURRENT_RSS": 27312128, "CURRENT_PRECENT": 0.3313398942077632}
18:42:55.067420->{"CURRENT_RSS": 27312128, "CURRENT_PRECENT": 0.3313398942077632}
18:42:55.567799->{"CURRENT_RSS": 27680768, "CURRENT_PRECENT": 0.33581208834074144}
18:42:56.069105->{"CURRENT_RSS": 27680768, "CURRENT_PRECENT": 0.33581208834074144}
18:42:56.569894->{"CURRENT_RSS": 27680768, "CURRENT_PRECENT": 0.33581208834074144}
18:42:57.070800->{"CURRENT_RSS": 29470720, "CURRENT_PRECENT": 0.35752707540864676}
18:42:57.571224->{"CURRENT_RSS": 29786112, "CURRENT_PRECENT": 0.3613532859446392}
18:42:58.072001->{"CURRENT_RSS": 29966336, "CURRENT_PRECENT": 0.3635396919652063}
18:42:58.572308->{"CURRENT_RSS": 29966336, "CURRENT_PRECENT": 0.3635396919652063}
18:42:59.073237->{"CURRENT_RSS": 29970432, "CURRENT_PRECENT": 0.3635893830111283}
18:42:59.573886->{"CURRENT_RSS": 29970432, "CURRENT_PRECENT": 0.3635893830111283}
18:43:00.074441->{"CURRENT_RSS": 29970432, "CURRENT_PRECENT": 0.3635893830111283}
18:43:00.575257->{"CURRENT_RSS": 29982720, "CURRENT_PRECENT": 0.3637384561488943}
18:43:01.076509->{"CURRENT_RSS": 29982720, "CURRENT_PRECENT": 0.3637384561488943}
18:43:01.577297->{"CURRENT_RSS": 29986816, "CURRENT_PRECENT": 0.3637881471948162}
18:43:02.078394->{"CURRENT_RSS": 29986816, "CURRENT_PRECENT": 0.3637881471948162}
18:43:02.579249->{"CURRENT_RSS": 29986816, "CURRENT_PRECENT": 0.3637881471948162}
18:43:03.080565->{"CURRENT_RSS": 29990912, "CURRENT_PRECENT": 0.36383783824073823}
18:43:03.581922->{"CURRENT_RSS": 29990912, "CURRENT_PRECENT": 0.36383783824073823}
18:43:04.082834->{"CURRENT_RSS": 29990912, "CURRENT_PRECENT": 0.36383783824073823}
18:43:04.583875->{"CURRENT_RSS": 29999104, "CURRENT_PRECENT": 0.36393722033258213}
18:43:05.085353->{"CURRENT_RSS": 29999104, "CURRENT_PRECENT": 0.36393722033258213}
18:43:05.586380->{"CURRENT_RSS": 29999104, "CURRENT_PRECENT": 0.36393722033258213}
18:43:06.087489->{"CURRENT_RSS": 29999104, "CURRENT_PRECENT": 0.36393722033258213}
18:43:06.588842->{"CURRENT_RSS": 29999104, "CURRENT_PRECENT": 0.36393722033258213}
18:43:07.089948->{"CURRENT_RSS": 29999104, "CURRENT_PRECENT": 0.36393722033258213}
18:43:07.591247->{"CURRENT_RSS": 29999104, "CURRENT_PRECENT": 0.36393722033258213}
18:43:08.092303->{"CURRENT_RSS": 29999104, "CURRENT_PRECENT": 0.36393722033258213}
18:43:08.593232->{"CURRENT_RSS": 29999104, "CURRENT_PRECENT": 0.36393722033258213}
18:43:09.094556->{"CURRENT_RSS": 29999104, "CURRENT_PRECENT": 0.36393722033258213}
18:43:09.595905->{"CURRENT_RSS": 29999104, "CURRENT_PRECENT": 0.36393722033258213}
18:43:10.097427->{"CURRENT_RSS": 29999104, "CURRENT_PRECENT": 0.36393722033258213}
18:43:10.598445->{"CURRENT_RSS": 29999104, "CURRENT_PRECENT": 0.36393722033258213}
18:43:11.099817->{"CURRENT_RSS": 29999104, "CURRENT_PRECENT": 0.36393722033258213}
18:43:11.601119->{"CURRENT_RSS": 29999104, "CURRENT_PRECENT": 0.36393722033258213}
18:43:12.101929->{"CURRENT_RSS": 29999104, "CURRENT_PRECENT": 0.36393722033258213}
18:43:12.603343->{"CURRENT_RSS": 29999104, "CURRENT_PRECENT": 0.36393722033258213}
18:43:13.104891->{"CURRENT_RSS": 29999104, "CURRENT_PRECENT": 0.36393722033258213}
18:43:13.605955->{"CURRENT_RSS": 29999104, "CURRENT_PRECENT": 0.36393722033258213}
18:43:14.106862->{"CURRENT_RSS": 30101504, "CURRENT_PRECENT": 0.3651794964806317}
18:43:14.608102->{"CURRENT_RSS": 30109696, "CURRENT_PRECENT": 0.3652788785724756}
18:43:15.109411->{"CURRENT_RSS": 30920704, "CURRENT_PRECENT": 0.3751177056650277}
18:43:15.610472->{"CURRENT_RSS": 30920704, "CURRENT_PRECENT": 0.3751177056650277}
18:43:16.111852->{"CURRENT_RSS": 30924800, "CURRENT_PRECENT": 0.3751673967109497}
18:43:16.612833->{"CURRENT_RSS": 30924800, "CURRENT_PRECENT": 0.3751673967109497}
18:43:17.113836->{"CURRENT_RSS": 30924800, "CURRENT_PRECENT": 0.3751673967109497}
18:43:17.614846->{"CURRENT_RSS": 30924800, "CURRENT_PRECENT": 0.3751673967109497}
18:43:18.115895->{"CURRENT_RSS": 30924800, "CURRENT_PRECENT": 0.3751673967109497}
