18:47:59.009878->{"CURRENT_RSS": 22495232, "CURRENT_PRECENT": 0.27290322420351465}
18:47:59.517814->{"CURRENT_RSS": 23162880, "CURRENT_PRECENT": 0.2810028646887974}
18:48:00.018654->{"CURRENT_RSS": 25309184, "CURRENT_PRECENT": 0.30704097275191494}
18:48:00.519157->{"CURRENT_RSS": 25309184, "CURRENT_PRECENT": 0.30704097275191494}
18:48:01.019953->{"CURRENT_RSS": 26877952, "CURRENT_PRECENT": 0.32607264334003333}
18:48:01.521210->{"CURRENT_RSS": 27181056, "CURRENT_PRECENT": 0.3297497807382599}
18:48:02.021802->{"CURRENT_RSS": 27193344, "CURRENT_PRECENT": 0.32989885387602585}
18:48:02.522986->{"CURRENT_RSS": 27205632, "CURRENT_PRECENT": 0.33004792701379176}
18:48:03.030132->{"CURRENT_RSS": 27578368, "CURRENT_PRECENT": 0.33456981219269194}
18:48:03.530443->{"CURRENT_RSS": 27578368, "CURRENT_PRECENT": 0.33456981219269194}
18:48:04.030749->{"CURRENT_RSS": 27578368, "CURRENT_PRECENT": 0.33456981219269194}
18:48:04.531981->{"CURRENT_RSS": 27615232, "CURRENT_PRECENT": 0.3350170316059897}
18:48:05.032813->{"CURRENT_RSS": 27639808, "CURRENT_PRECENT": 0.33531517788152165}
18:48:05.533401->{"CURRENT_RSS": 27648000, "CURRENT_PRECENT": 0.3354145599733656}
18:48:06.034508->{"CURRENT_RSS": 27648000, "CURRENT_PRECENT": 0.3354145599733656}
18:48:06.535582->{"CURRENT_RSS": 27664384, "CURRENT_PRECENT": 0.3356133241570535}
18:48:07.037091->{"CURRENT_RSS": 27664384, "CURRENT_PRECENT": 0.3356133241570535}
18:48:07.537872->{"CURRENT_RSS": 27664384, "CURRENT_PRECENT": 0.3356133241570535}
18:48:08.038591->{"CURRENT_RSS": 27664384, "CURRENT_PRECENT": 0.3356133241570535}
18:48:08.539687->{"CURRENT_RSS": 28495872, "CURRENT_PRECENT": 0.34570060647921547}
18:48:09.040430->{"CURRENT_RSS": 29192192, "CURRENT_PRECENT": 0.35414808428595207}
18:48:09.540860->{"CURRENT_RSS": 29192192, "CURRENT_PRECENT": 0.35414808428595207}
18:48:10.041804->{"CURRENT_RSS": 29192192, "CURRENT_PRECENT": 0.35414808428595207}
18:48:10.542332->{"CURRENT_RSS": 29192192, "CURRENT_PRECENT": 0.35414808428595207}
18:48:11.043412->{"CURRENT_RSS": 29208576, "CURRENT_PRECENT": 0.35434684846964004}
18:48:11.544300->{"CURRENT_RSS": 29220864, "CURRENT_PRECENT": 0.35449592160740595}
18:48:12.045239->{"CURRENT_RSS": 29220864, "CURRENT_PRECENT": 0.35449592160740595}
18:48:12.546881->{"CURRENT_RSS": 29220864, "CURRENT_PRECENT": 0.35449592160740595}
18:48:13.047993->{"CURRENT_RSS": 29237248, "CURRENT_PRECENT": 0.35469468579109387}
18:48:13.549431->{"CURRENT_RSS": 29835264, "CURRENT_PRECENT": 0.361949578495703}
18:48:14.050917->{"CURRENT_RSS": 29835264, "CURRENT_PRECENT": 0.361949578495703}
18:48:14.551982->{"CURRENT_RSS": 29835264, "CURRENT_PRECENT": 0.361949578495703}
18:48:15.053420->{"CURRENT_RSS": 29839360, "CURRENT_PRECENT": 0.361999269541625}
18:48:15.555022->{"CURRENT_RSS": 29839360, "CURRENT_PRECENT": 0.361999269541625}
18:48:16.056632->{"CURRENT_RSS": 29839360, "CURRENT_PRECENT": 0.361999269541625}
18:48:16.557914->{"CURRENT_RSS": 29843456, "CURRENT_PRECENT": 0.36204896058754693}
18:48:17.058861->{"CURRENT_RSS": 29843456, "CURRENT_PRECENT": 0.36204896058754693}
18:48:17.559912->{"CURRENT_RSS": 29843456, "CURRENT_PRECENT": 0.36204896058754693}
18:48:18.060794->{"CURRENT_RSS": 29843456, "CURRENT_PRECENT": 0.36204896058754693}
18:48:18.561911->{"CURRENT_RSS": 29843456, "CURRENT_PRECENT": 0.36204896058754693}
18:48:19.062831->{"CURRENT_RSS": 29843456, "CURRENT_PRECENT": 0.36204896058754693}
18:48:19.564154->{"CURRENT_RSS": 29843456, "CURRENT_PRECENT": 0.36204896058754693}
18:48:20.065317->{"CURRENT_RSS": 29843456, "CURRENT_PRECENT": 0.36204896058754693}
18:48:20.566511->{"CURRENT_RSS": 29843456, "CURRENT_PRECENT": 0.36204896058754693}
18:48:21.067160->{"CURRENT_RSS": 29843456, "CURRENT_PRECENT": 0.36204896058754693}
18:48:21.568659->{"CURRENT_RSS": 29843456, "CURRENT_PRECENT": 0.36204896058754693}
18:48:22.070051->{"CURRENT_RSS": 29843456, "CURRENT_PRECENT": 0.36204896058754693}
18:48:22.571112->{"CURRENT_RSS": 29843456, "CURRENT_PRECENT": 0.36204896058754693}
18:48:23.072414->{"CURRENT_RSS": 29843456, "CURRENT_PRECENT": 0.36204896058754693}
18:48:23.573902->{"CURRENT_RSS": 29843456, "CURRENT_PRECENT": 0.36204896058754693}
18:48:24.075347->{"CURRENT_RSS": 29843456, "CURRENT_PRECENT": 0.36204896058754693}
18:48:24.576712->{"CURRENT_RSS": 29847552, "CURRENT_PRECENT": 0.3620986516334689}
18:48:25.078007->{"CURRENT_RSS": 29847552, "CURRENT_PRECENT": 0.3620986516334689}
18:48:25.579947->{"CURRENT_RSS": 29847552, "CURRENT_PRECENT": 0.3620986516334689}
18:48:26.081060->{"CURRENT_RSS": 29847552, "CURRENT_PRECENT": 0.3620986516334689}
18:48:26.582631->{"CURRENT_RSS": 29847552, "CURRENT_PRECENT": 0.3620986516334689}
18:48:27.083952->{"CURRENT_RSS": 29847552, "CURRENT_PRECENT": 0.3620986516334689}
18:48:27.585366->{"CURRENT_RSS": 29847552, "CURRENT_PRECENT": 0.3620986516334689}
18:48:28.086921->{"CURRENT_RSS": 29847552, "CURRENT_PRECENT": 0.3620986516334689}
18:48:28.588352->{"CURRENT_RSS": 29847552, "CURRENT_PRECENT": 0.3620986516334689}
18:48:29.089860->{"CURRENT_RSS": 29847552, "CURRENT_PRECENT": 0.3620986516334689}
18:48:29.590889->{"CURRENT_RSS": 29847552, "CURRENT_PRECENT": 0.3620986516334689}
18:48:30.092352->{"CURRENT_RSS": 29847552, "CURRENT_PRECENT": 0.3620986516334689}
18:48:30.593910->{"CURRENT_RSS": 29847552, "CURRENT_PRECENT": 0.3620986516334689}
18:48:31.094898->{"CURRENT_RSS": 29847552, "CURRENT_PRECENT": 0.3620986516334689}
18:48:31.596303->{"CURRENT_RSS": 29847552, "CURRENT_PRECENT": 0.3620986516334689}
18:48:32.097261->{"CURRENT_RSS": 29847552, "CURRENT_PRECENT": 0.3620986516334689}
18:48:32.598768->{"CURRENT_RSS": 29847552, "CURRENT_PRECENT": 0.3620986516334689}
18:48:33.100139->{"CURRENT_RSS": 29851648, "CURRENT_PRECENT": 0.3621483426793909}
18:48:33.601171->{"CURRENT_RSS": 29851648, "CURRENT_PRECENT": 0.3621483426793909}
18:48:34.102256->{"CURRENT_RSS": 29851648, "CURRENT_PRECENT": 0.3621483426793909}
18:48:34.603717->{"CURRENT_RSS": 29851648, "CURRENT_PRECENT": 0.3621483426793909}
18:48:35.105141->{"CURRENT_RSS": 29851648, "CURRENT_PRECENT": 0.3621483426793909}
18:48:35.606633->{"CURRENT_RSS": 29851648, "CURRENT_PRECENT": 0.3621483426793909}
18:48:36.107701->{"CURRENT_RSS": 29851648, "CURRENT_PRECENT": 0.3621483426793909}
18:48:36.608911->{"CURRENT_RSS": 29851648, "CURRENT_PRECENT": 0.3621483426793909}
18:48:37.109922->{"CURRENT_RSS": 29851648, "CURRENT_PRECENT": 0.3621483426793909}
18:48:37.611262->{"CURRENT_RSS": 29851648, "CURRENT_PRECENT": 0.3621483426793909}
18:48:38.112679->{"CURRENT_RSS": 29851648, "CURRENT_PRECENT": 0.3621483426793909}
18:48:38.613968->{"CURRENT_RSS": 29851648, "CURRENT_PRECENT": 0.3621483426793909}
18:48:39.115489->{"CURRENT_RSS": 29851648, "CURRENT_PRECENT": 0.3621483426793909}
18:48:39.616827->{"CURRENT_RSS": 29851648, "CURRENT_PRECENT": 0.3621483426793909}
18:48:40.117862->{"CURRENT_RSS": 29851648, "CURRENT_PRECENT": 0.3621483426793909}
18:48:40.619308->{"CURRENT_RSS": 29851648, "CURRENT_PRECENT": 0.3621483426793909}
18:48:41.120765->{"CURRENT_RSS": 29851648, "CURRENT_PRECENT": 0.3621483426793909}
18:48:41.621797->{"CURRENT_RSS": 29851648, "CURRENT_PRECENT": 0.3621483426793909}
18:48:42.122905->{"CURRENT_RSS": 29851648, "CURRENT_PRECENT": 0.3621483426793909}
18:48:42.624256->{"CURRENT_RSS": 29851648, "CURRENT_PRECENT": 0.3621483426793909}
18:48:43.125832->{"CURRENT_RSS": 29851648, "CURRENT_PRECENT": 0.3621483426793909}
18:48:43.626760->{"CURRENT_RSS": 29851648, "CURRENT_PRECENT": 0.3621483426793909}
18:48:44.128172->{"CURRENT_RSS": 29851648, "CURRENT_PRECENT": 0.3621483426793909}
18:48:44.629138->{"CURRENT_RSS": 29851648, "CURRENT_PRECENT": 0.3621483426793909}
18:48:45.130325->{"CURRENT_RSS": 29855744, "CURRENT_PRECENT": 0.36219803372531284}
18:48:45.631153->{"CURRENT_RSS": 29855744, "CURRENT_PRECENT": 0.36219803372531284}
18:48:46.132464->{"CURRENT_RSS": 29855744, "CURRENT_PRECENT": 0.36219803372531284}
18:48:46.634573->{"CURRENT_RSS": 29855744, "CURRENT_PRECENT": 0.36219803372531284}
18:48:47.136322->{"CURRENT_RSS": 30142464, "CURRENT_PRECENT": 0.3656764069398515}
18:48:47.637904->{"CURRENT_RSS": 30167040, "CURRENT_PRECENT": 0.36597455321538336}
18:48:48.139716->{"CURRENT_RSS": 30191616, "CURRENT_PRECENT": 0.36627269949091523}
18:48:48.641201->{"CURRENT_RSS": 30191616, "CURRENT_PRECENT": 0.36627269949091523}
18:48:49.142442->{"CURRENT_RSS": 30191616, "CURRENT_PRECENT": 0.36627269949091523}
18:48:49.643450->{"CURRENT_RSS": 30191616, "CURRENT_PRECENT": 0.36627269949091523}
18:48:50.145495->{"CURRENT_RSS": 30191616, "CURRENT_PRECENT": 0.36627269949091523}
18:48:50.647770->{"CURRENT_RSS": 30191616, "CURRENT_PRECENT": 0.36627269949091523}
18:48:51.149277->{"CURRENT_RSS": 30191616, "CURRENT_PRECENT": 0.36627269949091523}
18:48:51.650352->{"CURRENT_RSS": 30191616, "CURRENT_PRECENT": 0.36627269949091523}
18:48:52.151775->{"CURRENT_RSS": 30191616, "CURRENT_PRECENT": 0.36627269949091523}
18:48:52.653536->{"CURRENT_RSS": 30429184, "CURRENT_PRECENT": 0.36915478015439007}
18:48:53.154397->{"CURRENT_RSS": 30429184, "CURRENT_PRECENT": 0.36915478015439007}
18:48:53.656004->{"CURRENT_RSS": 30429184, "CURRENT_PRECENT": 0.36915478015439007}
18:48:54.157676->{"CURRENT_RSS": 30429184, "CURRENT_PRECENT": 0.36915478015439007}
18:48:54.659068->{"CURRENT_RSS": 30429184, "CURRENT_PRECENT": 0.36915478015439007}
18:48:55.160429->{"CURRENT_RSS": 30429184, "CURRENT_PRECENT": 0.36915478015439007}
18:48:55.662195->{"CURRENT_RSS": 30429184, "CURRENT_PRECENT": 0.36915478015439007}
18:48:56.163439->{"CURRENT_RSS": 30429184, "CURRENT_PRECENT": 0.36915478015439007}
18:48:56.665064->{"CURRENT_RSS": 30429184, "CURRENT_PRECENT": 0.36915478015439007}
18:48:57.165854->{"CURRENT_RSS": 30429184, "CURRENT_PRECENT": 0.36915478015439007}
18:48:57.667255->{"CURRENT_RSS": 30429184, "CURRENT_PRECENT": 0.36915478015439007}
18:48:58.168930->{"CURRENT_RSS": 30699520, "CURRENT_PRECENT": 0.37243438918524074}
18:48:58.670410->{"CURRENT_RSS": 30699520, "CURRENT_PRECENT": 0.37243438918524074}
18:48:59.172125->{"CURRENT_RSS": 30699520, "CURRENT_PRECENT": 0.37243438918524074}
18:48:59.673170->{"CURRENT_RSS": 30699520, "CURRENT_PRECENT": 0.37243438918524074}
18:49:00.174543->{"CURRENT_RSS": 30699520, "CURRENT_PRECENT": 0.37243438918524074}
18:49:00.675888->{"CURRENT_RSS": 30699520, "CURRENT_PRECENT": 0.37243438918524074}
18:49:01.177679->{"CURRENT_RSS": 30699520, "CURRENT_PRECENT": 0.37243438918524074}
18:49:01.678999->{"CURRENT_RSS": 30703616, "CURRENT_PRECENT": 0.37248408023116275}
18:49:02.180803->{"CURRENT_RSS": 30703616, "CURRENT_PRECENT": 0.37248408023116275}
