20:00:32.816944->{"CURRENT_RSS": 22540288, "CURRENT_PRECENT": 0.27344982570865645}
20:00:33.317856->{"CURRENT_RSS": 23314432, "CURRENT_PRECENT": 0.2828414333879107}
20:00:33.818539->{"CURRENT_RSS": 23453696, "CURRENT_PRECENT": 0.284530928949258}
20:00:34.319324->{"CURRENT_RSS": 25251840, "CURRENT_PRECENT": 0.30634529810900724}
20:00:34.819866->{"CURRENT_RSS": 25554944, "CURRENT_PRECENT": 0.3100224355072338}
20:00:35.332231->{"CURRENT_RSS": 25600000, "CURRENT_PRECENT": 0.31056903701237554}
20:00:35.833932->{"CURRENT_RSS": 25636864, "CURRENT_PRECENT": 0.3110162564256734}
20:00:36.334644->{"CURRENT_RSS": 25731072, "CURRENT_PRECENT": 0.3121591504818789}
20:00:36.835228->{"CURRENT_RSS": 25751552, "CURRENT_PRECENT": 0.31240760571148884}
20:00:37.335908->{"CURRENT_RSS": 25759744, "CURRENT_PRECENT": 0.31250698780333275}
20:00:37.836979->{"CURRENT_RSS": 25767936, "CURRENT_PRECENT": 0.3126063698951767}
20:00:38.337856->{"CURRENT_RSS": 25767936, "CURRENT_PRECENT": 0.3126063698951767}
20:00:38.838578->{"CURRENT_RSS": 25829376, "CURRENT_PRECENT": 0.3133517355840065}
20:00:39.339349->{"CURRENT_RSS": 25829376, "CURRENT_PRECENT": 0.3133517355840065}
20:00:39.839973->{"CURRENT_RSS": 25833472, "CURRENT_PRECENT": 0.3134014266299284}
20:00:40.341125->{"CURRENT_RSS": 25849856, "CURRENT_PRECENT": 0.31360019081361634}
20:00:40.841829->{"CURRENT_RSS": 26091520, "CURRENT_PRECENT": 0.3165319625230132}
20:00:41.342621->{"CURRENT_RSS": 26091520, "CURRENT_PRECENT": 0.3165319625230132}
20:00:41.843643->{"CURRENT_RSS": 26091520, "CURRENT_PRECENT": 0.3165319625230132}
20:00:42.344623->{"CURRENT_RSS": 28225536, "CURRENT_PRECENT": 0.3424209974483648}
20:00:42.845431->{"CURRENT_RSS": 28491776, "CURRENT_PRECENT": 0.34565091543329346}
20:00:43.345913->{"CURRENT_RSS": 28696576, "CURRENT_PRECENT": 0.34813546772939247}
20:00:43.847283->{"CURRENT_RSS": 28712960, "CURRENT_PRECENT": 0.34833423191308044}
20:00:44.349482->{"CURRENT_RSS": 28733440, "CURRENT_PRECENT": 0.3485826871426903}
20:00:44.850031->{"CURRENT_RSS": 28733440, "CURRENT_PRECENT": 0.3485826871426903}
20:00:45.351063->{"CURRENT_RSS": 28733440, "CURRENT_PRECENT": 0.3485826871426903}
20:00:45.851678->{"CURRENT_RSS": 28733440, "CURRENT_PRECENT": 0.3485826871426903}
20:00:46.352417->{"CURRENT_RSS": 28733440, "CURRENT_PRECENT": 0.3485826871426903}
20:00:46.853265->{"CURRENT_RSS": 28733440, "CURRENT_PRECENT": 0.3485826871426903}
20:00:47.353935->{"CURRENT_RSS": 29011968, "CURRENT_PRECENT": 0.351961678265385}
20:00:47.855250->{"CURRENT_RSS": 29011968, "CURRENT_PRECENT": 0.351961678265385}
20:00:48.356216->{"CURRENT_RSS": 29011968, "CURRENT_PRECENT": 0.351961678265385}
20:00:48.856795->{"CURRENT_RSS": 29020160, "CURRENT_PRECENT": 0.35206106035722895}
20:00:49.357239->{"CURRENT_RSS": 29360128, "CURRENT_PRECENT": 0.3561854171687533}
20:00:49.858388->{"CURRENT_RSS": 29360128, "CURRENT_PRECENT": 0.3561854171687533}
20:00:50.359720->{"CURRENT_RSS": 29360128, "CURRENT_PRECENT": 0.3561854171687533}
20:00:50.861011->{"CURRENT_RSS": 29364224, "CURRENT_PRECENT": 0.35623510821467524}
20:00:51.362121->{"CURRENT_RSS": 29364224, "CURRENT_PRECENT": 0.35623510821467524}
20:00:51.863110->{"CURRENT_RSS": 29364224, "CURRENT_PRECENT": 0.35623510821467524}
20:00:52.363710->{"CURRENT_RSS": 29364224, "CURRENT_PRECENT": 0.35623510821467524}
20:00:52.864749->{"CURRENT_RSS": 29364224, "CURRENT_PRECENT": 0.35623510821467524}
20:00:53.365843->{"CURRENT_RSS": 29364224, "CURRENT_PRECENT": 0.35623510821467524}
20:00:53.867259->{"CURRENT_RSS": 29364224, "CURRENT_PRECENT": 0.35623510821467524}
20:00:54.368258->{"CURRENT_RSS": 29364224, "CURRENT_PRECENT": 0.35623510821467524}
20:00:54.869436->{"CURRENT_RSS": 29364224, "CURRENT_PRECENT": 0.35623510821467524}
20:00:55.370492->{"CURRENT_RSS": 29364224, "CURRENT_PRECENT": 0.35623510821467524}
20:00:55.871355->{"CURRENT_RSS": 29364224, "CURRENT_PRECENT": 0.35623510821467524}
20:00:56.373273->{"CURRENT_RSS": 29364224, "CURRENT_PRECENT": 0.35623510821467524}
20:00:56.874469->{"CURRENT_RSS": 29364224, "CURRENT_PRECENT": 0.35623510821467524}
20:00:57.376594->{"CURRENT_RSS": 29634560, "CURRENT_PRECENT": 0.35951471724552597}
20:00:57.878449->{"CURRENT_RSS": 29634560, "CURRENT_PRECENT": 0.35951471724552597}
20:00:58.380431->{"CURRENT_RSS": 29634560, "CURRENT_PRECENT": 0.35951471724552597}
20:00:58.882422->{"CURRENT_RSS": 29908992, "CURRENT_PRECENT": 0.3628440173222986}
