11:54:57.846085->{"CURRENT_PRECENT": 0.27449333767301803, "CURRENT_RSS": 22626304}
11:54:58.346958->{"CURRENT_PRECENT": 0.3062956070630853, "CURRENT_RSS": 25247744}
11:54:58.847776->{"CURRENT_PRECENT": 0.31752578344145277, "CURRENT_RSS": 26173440}
11:54:59.348598->{"CURRENT_PRECENT": 0.32080539247230344, "CURRENT_RSS": 26443776}
11:54:59.849370->{"CURRENT_PRECENT": 0.33804818540723053, "CURRENT_RSS": 27865088}
11:55:00.354499->{"CURRENT_PRECENT": 0.34127810339215925, "CURRENT_RSS": 28131328}
11:55:00.855311->{"CURRENT_PRECENT": 0.34127810339215925, "CURRENT_RSS": 28131328}
11:55:01.356053->{"CURRENT_PRECENT": 0.3414271765299252, "CURRENT_RSS": 28143616}
11:55:01.857622->{"CURRENT_PRECENT": 0.3415265586217691, "CURRENT_RSS": 28151808}
11:55:02.358305->{"CURRENT_PRECENT": 0.3417253228054571, "CURRENT_RSS": 28168192}
11:55:02.858816->{"CURRENT_PRECENT": 0.3417253228054571, "CURRENT_RSS": 28168192}
11:55:03.359905->{"CURRENT_PRECENT": 0.3422222332646769, "CURRENT_RSS": 28209152}
11:55:03.861047->{"CURRENT_PRECENT": 0.3422222332646769, "CURRENT_RSS": 28209152}
11:55:04.361800->{"CURRENT_PRECENT": 0.34237130640244284, "CURRENT_RSS": 28221440}
11:55:04.862904->{"CURRENT_PRECENT": 0.3426694526779747, "CURRENT_RSS": 28246016}
11:55:05.364077->{"CURRENT_PRECENT": 0.3426694526779747, "CURRENT_RSS": 28246016}
11:55:05.865252->{"CURRENT_PRECENT": 0.34271914372389667, "CURRENT_RSS": 28250112}
11:55:06.365701->{"CURRENT_PRECENT": 0.35255797081644874, "CURRENT_RSS": 29061120}
11:55:06.866529->{"CURRENT_PRECENT": 0.35255797081644874, "CURRENT_RSS": 29061120}
11:55:07.368131->{"CURRENT_PRECENT": 0.35539036043400163, "CURRENT_RSS": 29294592}
11:55:07.868638->{"CURRENT_PRECENT": 0.3600613187506677, "CURRENT_RSS": 29679616}
11:55:08.370749->{"CURRENT_PRECENT": 0.3638875292866602, "CURRENT_RSS": 29995008}
11:55:08.871785->{"CURRENT_PRECENT": 0.3638875292866602, "CURRENT_RSS": 29995008}
11:55:09.373222->{"CURRENT_PRECENT": 0.3671671383175109, "CURRENT_RSS": 30265344}
11:55:09.874517->{"CURRENT_PRECENT": 0.3671671383175109, "CURRENT_RSS": 30265344}
11:55:10.375441->{"CURRENT_PRECENT": 0.37635998181307717, "CURRENT_RSS": 31023104}
11:55:10.876339->{"CURRENT_PRECENT": 0.3808321759460554, "CURRENT_RSS": 31391744}
11:55:11.377108->{"CURRENT_PRECENT": 0.381726614772651, "CURRENT_RSS": 31465472}
11:55:11.878631->{"CURRENT_PRECENT": 0.381726614772651, "CURRENT_RSS": 31465472}
11:55:12.379988->{"CURRENT_PRECENT": 0.381726614772651, "CURRENT_RSS": 31465472}
11:55:12.880954->{"CURRENT_PRECENT": 0.38500622380350175, "CURRENT_RSS": 31735808}
11:55:13.382490->{"CURRENT_PRECENT": 0.38500622380350175, "CURRENT_RSS": 31735808}
11:55:13.883934->{"CURRENT_PRECENT": 0.3850559148494237, "CURRENT_RSS": 31739904}
11:55:14.385381->{"CURRENT_PRECENT": 0.3850559148494237, "CURRENT_RSS": 31739904}
11:55:14.886248->{"CURRENT_PRECENT": 0.3850559148494237, "CURRENT_RSS": 31739904}
11:55:15.387230->{"CURRENT_PRECENT": 0.3850559148494237, "CURRENT_RSS": 31739904}
11:55:15.888758->{"CURRENT_PRECENT": 0.38833552388027437, "CURRENT_RSS": 32010240}
11:55:16.389751->{"CURRENT_PRECENT": 0.38833552388027437, "CURRENT_RSS": 32010240}
11:55:16.890984->{"CURRENT_PRECENT": 0.38833552388027437, "CURRENT_RSS": 32010240}
11:55:17.392493->{"CURRENT_PRECENT": 0.38833552388027437, "CURRENT_RSS": 32010240}
11:55:17.893832->{"CURRENT_PRECENT": 0.38833552388027437, "CURRENT_RSS": 32010240}
11:55:18.395170->{"CURRENT_PRECENT": 0.38833552388027437, "CURRENT_RSS": 32010240}
11:55:18.896745->{"CURRENT_PRECENT": 0.38833552388027437, "CURRENT_RSS": 32010240}
11:55:19.397764->{"CURRENT_PRECENT": 0.38833552388027437, "CURRENT_RSS": 32010240}
11:55:19.898684->{"CURRENT_PRECENT": 0.38833552388027437, "CURRENT_RSS": 32010240}
11:55:20.399752->{"CURRENT_PRECENT": 0.3995160092127199, "CURRENT_RSS": 32931840}
11:55:20.901967->{"CURRENT_PRECENT": 0.40060921222300344, "CURRENT_RSS": 33021952}
11:55:21.403719->{"CURRENT_PRECENT": 0.40105643163630134, "CURRENT_RSS": 33058816}
11:55:21.905975->{"CURRENT_PRECENT": 0.401851488371053, "CURRENT_RSS": 33124352}
11:55:22.407422->{"CURRENT_PRECENT": 0.401851488371053, "CURRENT_RSS": 33124352}
11:55:22.909287->{"CURRENT_PRECENT": 0.401851488371053, "CURRENT_RSS": 33124352}
11:55:23.410363->{"CURRENT_PRECENT": 0.401851488371053, "CURRENT_RSS": 33124352}
11:55:23.911962->{"CURRENT_PRECENT": 0.401851488371053, "CURRENT_RSS": 33124352}
11:55:24.413231->{"CURRENT_PRECENT": 0.401851488371053, "CURRENT_RSS": 33124352}
11:55:24.914344->{"CURRENT_PRECENT": 0.401851488371053, "CURRENT_RSS": 33124352}
11:55:25.415891->{"CURRENT_PRECENT": 0.401851488371053, "CURRENT_RSS": 33124352}
11:55:25.917623->{"CURRENT_PRECENT": 0.401851488371053, "CURRENT_RSS": 33124352}
11:55:26.418863->{"CURRENT_PRECENT": 0.40190117941697495, "CURRENT_RSS": 33128448}
11:55:26.920639->{"CURRENT_PRECENT": 0.40190117941697495, "CURRENT_RSS": 33128448}
11:55:27.422320->{"CURRENT_PRECENT": 0.40190117941697495, "CURRENT_RSS": 33128448}
11:55:27.923969->{"CURRENT_PRECENT": 0.40190117941697495, "CURRENT_RSS": 33128448}
11:55:28.425117->{"CURRENT_PRECENT": 0.40190117941697495, "CURRENT_RSS": 33128448}
11:55:28.926419->{"CURRENT_PRECENT": 0.40190117941697495, "CURRENT_RSS": 33128448}
11:55:29.428764->{"CURRENT_PRECENT": 0.40195087046289696, "CURRENT_RSS": 33132544}
11:55:29.930341->{"CURRENT_PRECENT": 0.40195087046289696, "CURRENT_RSS": 33132544}
11:55:30.431491->{"CURRENT_PRECENT": 0.40195087046289696, "CURRENT_RSS": 33132544}
11:55:30.933302->{"CURRENT_PRECENT": 0.40195087046289696, "CURRENT_RSS": 33132544}
11:55:31.434808->{"CURRENT_PRECENT": 0.40195087046289696, "CURRENT_RSS": 33132544}
11:55:31.936437->{"CURRENT_PRECENT": 0.40195087046289696, "CURRENT_RSS": 33132544}
11:55:32.437742->{"CURRENT_PRECENT": 0.4021993256925069, "CURRENT_RSS": 33153024}
11:55:32.939156->{"CURRENT_PRECENT": 0.4021993256925069, "CURRENT_RSS": 33153024}
11:55:33.440873->{"CURRENT_PRECENT": 0.4021993256925069, "CURRENT_RSS": 33153024}
11:55:33.942326->{"CURRENT_PRECENT": 0.4022490167384288, "CURRENT_RSS": 33157120}
11:55:34.443477->{"CURRENT_PRECENT": 0.4022490167384288, "CURRENT_RSS": 33157120}
11:55:34.945153->{"CURRENT_PRECENT": 0.4022490167384288, "CURRENT_RSS": 33157120}
11:55:35.446272->{"CURRENT_PRECENT": 0.4022490167384288, "CURRENT_RSS": 33157120}
11:55:35.947223->{"CURRENT_PRECENT": 0.4022490167384288, "CURRENT_RSS": 33157120}
11:55:36.447971->{"CURRENT_PRECENT": 0.40229870778435084, "CURRENT_RSS": 33161216}
