18:47:59.257009->{"CURRENT_PRECENT": 0.27926367808152813, "CURRENT_RSS": 23019520}
18:47:59.758058->{"CURRENT_PRECENT": 0.29138829328649124, "CURRENT_RSS": 24018944}
18:48:00.260659->{"CURRENT_PRECENT": 0.30763726530297875, "CURRENT_RSS": 25358336}
18:48:00.761313->{"CURRENT_PRECENT": 0.3256254239267355, "CURRENT_RSS": 26841088}
18:48:01.261923->{"CURRENT_PRECENT": 0.3284578135442884, "CURRENT_RSS": 27074560}
18:48:01.765807->{"CURRENT_PRECENT": 0.32979947178418184, "CURRENT_RSS": 27185152}
18:48:02.266232->{"CURRENT_PRECENT": 0.32999823596786976, "CURRENT_RSS": 27201536}
18:48:02.766878->{"CURRENT_PRECENT": 0.3300976180597137, "CURRENT_RSS": 27209728}
18:48:03.267276->{"CURRENT_PRECENT": 0.3300976180597137, "CURRENT_RSS": 27209728}
18:48:03.767593->{"CURRENT_PRECENT": 0.3300976180597137, "CURRENT_RSS": 27209728}
18:48:04.268393->{"CURRENT_PRECENT": 0.3300976180597137, "CURRENT_RSS": 27209728}
18:48:04.770191->{"CURRENT_PRECENT": 0.33074360165669947, "CURRENT_RSS": 27262976}
18:48:05.272613->{"CURRENT_PRECENT": 0.3308926747944654, "CURRENT_RSS": 27275264}
18:48:05.774452->{"CURRENT_PRECENT": 0.3308926747944654, "CURRENT_RSS": 27275264}
18:48:06.276112->{"CURRENT_PRECENT": 0.3308926747944654, "CURRENT_RSS": 27275264}
18:48:06.777614->{"CURRENT_PRECENT": 0.3338244465038622, "CURRENT_RSS": 27516928}
18:48:07.278583->{"CURRENT_PRECENT": 0.3381475674990745, "CURRENT_RSS": 27873280}
18:48:07.780283->{"CURRENT_PRECENT": 0.3381475674990745, "CURRENT_RSS": 27873280}
18:48:08.281725->{"CURRENT_PRECENT": 0.3420731601269109, "CURRENT_RSS": 28196864}
18:48:08.783774->{"CURRENT_PRECENT": 0.3478870124997826, "CURRENT_RSS": 28676096}
18:48:09.285381->{"CURRENT_PRECENT": 0.3511169304847113, "CURRENT_RSS": 28942336}
18:48:09.785966->{"CURRENT_PRECENT": 0.3522598245409168, "CURRENT_RSS": 29036544}
18:48:10.287638->{"CURRENT_PRECENT": 0.3526076618623707, "CURRENT_RSS": 29065216}
18:48:10.788744->{"CURRENT_PRECENT": 0.3526573529082927, "CURRENT_RSS": 29069312}
18:48:11.289937->{"CURRENT_PRECENT": 0.3526573529082927, "CURRENT_RSS": 29069312}
18:48:11.790931->{"CURRENT_PRECENT": 0.3526573529082927, "CURRENT_RSS": 29069312}
18:48:12.291727->{"CURRENT_PRECENT": 0.3526573529082927, "CURRENT_RSS": 29069312}
18:48:12.793243->{"CURRENT_PRECENT": 0.3526573529082927, "CURRENT_RSS": 29069312}
18:48:13.294331->{"CURRENT_PRECENT": 0.3527070439542147, "CURRENT_RSS": 29073408}
18:48:13.795729->{"CURRENT_PRECENT": 0.35926626201591605, "CURRENT_RSS": 29614080}
18:48:14.296601->{"CURRENT_PRECENT": 0.35926626201591605, "CURRENT_RSS": 29614080}
18:48:14.797856->{"CURRENT_PRECENT": 0.35926626201591605, "CURRENT_RSS": 29614080}
18:48:15.298998->{"CURRENT_PRECENT": 0.35936564410776, "CURRENT_RSS": 29622272}
18:48:15.799880->{"CURRENT_PRECENT": 0.35936564410776, "CURRENT_RSS": 29622272}
18:48:16.300778->{"CURRENT_PRECENT": 0.35936564410776, "CURRENT_RSS": 29622272}
18:48:16.801844->{"CURRENT_PRECENT": 0.35936564410776, "CURRENT_RSS": 29622272}
18:48:17.303345->{"CURRENT_PRECENT": 0.35936564410776, "CURRENT_RSS": 29622272}
18:48:17.804225->{"CURRENT_PRECENT": 0.35936564410776, "CURRENT_RSS": 29622272}
18:48:18.305360->{"CURRENT_PRECENT": 0.35936564410776, "CURRENT_RSS": 29622272}
18:48:18.806403->{"CURRENT_PRECENT": 0.35936564410776, "CURRENT_RSS": 29622272}
18:48:19.307384->{"CURRENT_PRECENT": 0.35936564410776, "CURRENT_RSS": 29622272}
18:48:19.808825->{"CURRENT_PRECENT": 0.35936564410776, "CURRENT_RSS": 29622272}
18:48:20.309849->{"CURRENT_PRECENT": 0.35936564410776, "CURRENT_RSS": 29622272}
18:48:20.811329->{"CURRENT_PRECENT": 0.35936564410776, "CURRENT_RSS": 29622272}
18:48:21.312159->{"CURRENT_PRECENT": 0.35936564410776, "CURRENT_RSS": 29622272}
18:48:21.812566->{"CURRENT_PRECENT": 0.35941533515368196, "CURRENT_RSS": 29626368}
18:48:22.313865->{"CURRENT_PRECENT": 0.35941533515368196, "CURRENT_RSS": 29626368}
18:48:22.815463->{"CURRENT_PRECENT": 0.35941533515368196, "CURRENT_RSS": 29626368}
18:48:23.316520->{"CURRENT_PRECENT": 0.35941533515368196, "CURRENT_RSS": 29626368}
18:48:23.817819->{"CURRENT_PRECENT": 0.35941533515368196, "CURRENT_RSS": 29626368}
18:48:24.318580->{"CURRENT_PRECENT": 0.35941533515368196, "CURRENT_RSS": 29626368}
18:48:24.819588->{"CURRENT_PRECENT": 0.35946502619960397, "CURRENT_RSS": 29630464}
18:48:25.320666->{"CURRENT_PRECENT": 0.35946502619960397, "CURRENT_RSS": 29630464}
18:48:25.821911->{"CURRENT_PRECENT": 0.35946502619960397, "CURRENT_RSS": 29630464}
18:48:26.323243->{"CURRENT_PRECENT": 0.35946502619960397, "CURRENT_RSS": 29630464}
18:48:26.824332->{"CURRENT_PRECENT": 0.35946502619960397, "CURRENT_RSS": 29630464}
18:48:27.325796->{"CURRENT_PRECENT": 0.35946502619960397, "CURRENT_RSS": 29630464}
18:48:27.826709->{"CURRENT_PRECENT": 0.35946502619960397, "CURRENT_RSS": 29630464}
18:48:28.328039->{"CURRENT_PRECENT": 0.35946502619960397, "CURRENT_RSS": 29630464}
18:48:28.829074->{"CURRENT_PRECENT": 0.35946502619960397, "CURRENT_RSS": 29630464}
18:48:29.330550->{"CURRENT_PRECENT": 0.35946502619960397, "CURRENT_RSS": 29630464}
18:48:29.831877->{"CURRENT_PRECENT": 0.35946502619960397, "CURRENT_RSS": 29630464}
