18:51:08.280966->{"CURRENT_PRECENT": 0.26346192547833847, "CURRENT_RSS": 21716992}
18:51:08.781802->{"CURRENT_PRECENT": 0.2815991572398612, "CURRENT_RSS": 23212032}
18:51:09.289273->{"CURRENT_PRECENT": 0.28333834384713047, "CURRENT_RSS": 23355392}
18:51:09.790451->{"CURRENT_PRECENT": 0.3087304683132623, "CURRENT_RSS": 25448448}
18:51:10.291313->{"CURRENT_PRECENT": 0.3256751149726575, "CURRENT_RSS": 26845184}
18:51:10.791901->{"CURRENT_PRECENT": 0.3366568361214151, "CURRENT_RSS": 27750400}
18:51:11.292545->{"CURRENT_PRECENT": 0.336905291351025, "CURRENT_RSS": 27770880}
18:51:11.793537->{"CURRENT_PRECENT": 0.33705436448879095, "CURRENT_RSS": 27783168}
18:51:12.294174->{"CURRENT_PRECENT": 0.3371537465806349, "CURRENT_RSS": 27791360}
18:51:12.794591->{"CURRENT_PRECENT": 0.33760096599393274, "CURRENT_RSS": 27828224}
18:51:13.295788->{"CURRENT_PRECENT": 0.33760096599393274, "CURRENT_RSS": 27828224}
18:51:13.797006->{"CURRENT_PRECENT": 0.33760096599393274, "CURRENT_RSS": 27828224}
18:51:14.297877->{"CURRENT_PRECENT": 0.33760096599393274, "CURRENT_RSS": 27828224}
18:51:14.799463->{"CURRENT_PRECENT": 0.33770034808577665, "CURRENT_RSS": 27836416}
18:51:15.300991->{"CURRENT_PRECENT": 0.3379984943613086, "CURRENT_RSS": 27860992}
18:51:15.802575->{"CURRENT_PRECENT": 0.3379984943613086, "CURRENT_RSS": 27860992}
18:51:16.304744->{"CURRENT_PRECENT": 0.3381475674990745, "CURRENT_RSS": 27873280}
18:51:16.806610->{"CURRENT_PRECENT": 0.3381475674990745, "CURRENT_RSS": 27873280}
18:51:17.308074->{"CURRENT_PRECENT": 0.3447067855607759, "CURRENT_RSS": 28413952}
18:51:17.809077->{"CURRENT_PRECENT": 0.34868206923453426, "CURRENT_RSS": 28741632}
18:51:18.313826->{"CURRENT_PRECENT": 0.35350210068896637, "CURRENT_RSS": 29138944}
18:51:18.814204->{"CURRENT_PRECENT": 0.3547940678829378, "CURRENT_RSS": 29245440}
18:51:19.314875->{"CURRENT_PRECENT": 0.3547940678829378, "CURRENT_RSS": 29245440}
18:51:19.816178->{"CURRENT_PRECENT": 0.3547940678829378, "CURRENT_RSS": 29245440}
18:51:20.317416->{"CURRENT_PRECENT": 0.3547940678829378, "CURRENT_RSS": 29245440}
18:51:20.819030->{"CURRENT_PRECENT": 0.35484375892885983, "CURRENT_RSS": 29249536}
18:51:21.320419->{"CURRENT_PRECENT": 0.35484375892885983, "CURRENT_RSS": 29249536}
18:51:21.821296->{"CURRENT_PRECENT": 0.35484375892885983, "CURRENT_RSS": 29249536}
18:51:22.322903->{"CURRENT_PRECENT": 0.35484375892885983, "CURRENT_RSS": 29249536}
18:51:22.824682->{"CURRENT_PRECENT": 0.35509221415846975, "CURRENT_RSS": 29270016}
18:51:23.327538->{"CURRENT_PRECENT": 0.35509221415846975, "CURRENT_RSS": 29270016}
