18:52:13.454749->{"CURRENT_PRECENT": 0.2807544094591875, "CURRENT_RSS": 23142400}
18:52:13.957795->{"CURRENT_PRECENT": 0.2954132680061716, "CURRENT_RSS": 24350720}
18:52:14.461050->{"CURRENT_PRECENT": 0.32607264334003333, "CURRENT_RSS": 26877952}
18:52:14.965832->{"CURRENT_PRECENT": 0.32627140752372125, "CURRENT_RSS": 26894336}
18:52:15.466776->{"CURRENT_PRECENT": 0.32627140752372125, "CURRENT_RSS": 26894336}
18:52:15.967335->{"CURRENT_PRECENT": 0.32935225237088406, "CURRENT_RSS": 27148288}
18:52:16.467948->{"CURRENT_PRECENT": 0.3302466911974797, "CURRENT_RSS": 27222016}
18:52:16.968564->{"CURRENT_PRECENT": 0.3303957643352456, "CURRENT_RSS": 27234304}
18:52:17.469364->{"CURRENT_PRECENT": 0.33352630022833035, "CURRENT_RSS": 27492352}
18:52:17.969840->{"CURRENT_PRECENT": 0.33352630022833035, "CURRENT_RSS": 27492352}
18:52:18.470194->{"CURRENT_PRECENT": 0.33352630022833035, "CURRENT_RSS": 27492352}
18:52:18.970900->{"CURRENT_PRECENT": 0.33700467344286894, "CURRENT_RSS": 27779072}
18:52:19.472118->{"CURRENT_PRECENT": 0.336954982396947, "CURRENT_RSS": 27774976}
18:52:19.972977->{"CURRENT_PRECENT": 0.3381972585449965, "CURRENT_RSS": 27877376}
18:52:20.473832->{"CURRENT_PRECENT": 0.3381972585449965, "CURRENT_RSS": 27877376}
18:52:20.974584->{"CURRENT_PRECENT": 0.3381972585449965, "CURRENT_RSS": 27877376}
18:52:21.476056->{"CURRENT_PRECENT": 0.3381972585449965, "CURRENT_RSS": 27877376}
18:52:21.977403->{"CURRENT_PRECENT": 0.3381972585449965, "CURRENT_RSS": 27877376}
18:52:22.478496->{"CURRENT_PRECENT": 0.3381972585449965, "CURRENT_RSS": 27877376}
18:52:22.979576->{"CURRENT_PRECENT": 0.3443092571934, "CURRENT_RSS": 28381184}
18:52:23.480626->{"CURRENT_PRECENT": 0.3487814513263782, "CURRENT_RSS": 28749824}
18:52:23.981502->{"CURRENT_PRECENT": 0.3487814513263782, "CURRENT_RSS": 28749824}
18:52:24.483150->{"CURRENT_PRECENT": 0.3487814513263782, "CURRENT_RSS": 28749824}
18:52:24.984343->{"CURRENT_PRECENT": 0.3487814513263782, "CURRENT_RSS": 28749824}
18:52:25.485359->{"CURRENT_PRECENT": 0.34888083341822224, "CURRENT_RSS": 28758016}
18:52:25.986979->{"CURRENT_PRECENT": 0.34888083341822224, "CURRENT_RSS": 28758016}
18:52:26.487920->{"CURRENT_PRECENT": 0.3552909783421576, "CURRENT_RSS": 29286400}
18:52:26.989003->{"CURRENT_PRECENT": 0.3552909783421576, "CURRENT_RSS": 29286400}
18:52:27.490562->{"CURRENT_PRECENT": 0.3552909783421576, "CURRENT_RSS": 29286400}
18:52:27.991776->{"CURRENT_PRECENT": 0.3563344903065192, "CURRENT_RSS": 29372416}
